"Africa","Antarctica","Asia","Europe","North America","Oceania","Seven seas (open ocean)","South America"
31,0,0,0,0,0,0,0
23,0,3106,0,0,0,0,0
16677,1,8050,383066,201343,26736,19,19697
4,0,0,0,1650,0,0,0
1,0,0,0,2891,0,0,0
19,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
618,0,0,0,16744,0,0,0
380,0,0,0,35432,0,0,0
1,0,0,0,831,0,0,0
40,0,0,0,3018,0,0,15
4,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
1,0,0,0,32,0,0,0
126,0,0,0,9550,0,0,0
249,0,0,0,4893,0,0,0
416,0,0,0,1524,0,0,0
44,0,0,0,8852,0,0,0
352,0,6,2092,1417,0,0,0
2625,0,0,0,27475,0,0,0
826,0,0,0,39850,0,0,0
2247,0,0,0,4488,0,0,0
1,0,0,0,0,0,0,529
112,0,0,0,5833,0,0,0
6,0,0,0,2288,0,0,0
625,0,0,0,7147,0,0,0
441,0,0,0,5068,0,0,0
227,0,11,3676,1613,0,4,6
2,0,0,0,0,0,0,2729
1271,0,0,0,19742,0,0,0
459,0,0,1509,2817,0,2,0
2860,0,5,0,19560,0,0,0
2157,0,0,0,5525,0,0,0
1114,0,0,0,59469,0,0,0
684,0,0,0,13420,0,0,0
2,0,0,445,0,0,0,0
4651,0,0,0,135654,0,0,0
611,0,0,0,5615,0,0,0
194,0,1,17066,5946,0,0,0
36,0,0,0,4021,0,0,0
5,0,0,0,4,0,0,0
8,0,15,46,0,0,0,0
3,0,9,177434,2,1,6,0
370,0,7,4912,7,0,0,0
1825,0,0,0,22066,0,0,0
3269,0,0,0,17442,0,0,0
8,0,0,0,5619,0,0,0
4,0,0,0,117,0,0,0
1,0,0,0,586,0,0,0
628,0,0,0,5567,0,0,0
2162,0,0,0,18002,0,0,0
250,0,0,0,44616,0,0,0
1170,0,0,0,11617,0,0,0
1,0,2,122506,0,11,0,0
1,0,4,11802,0,5,0,0
24,0,0,3078,34,800,0,190
2810,0,0,0,15199,0,0,0
496,0,0,0,1092,0,0,0
468,0,0,0,3181,0,0,0
6,0,0,0,7698,0,0,0
551,0,0,0,1201,0,0,0
696,0,0,0,9911,0,0,0
5610,0,0,0,18699,0,0,0
45,2,588,201401,3,4329,7,1012
5121,0,0,0,15525,0,0,0
2257,0,0,0,16673,0,0,0
323,0,0,0,6584,0,0,0
2,0,2,11904,0,8,0,0
436,0,5,0,34293,0,0,0
1,0,54,0,0,0,0,0
1,0,0,0,2076,0,0,0
2,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
149,0,0,0,5542,0,0,0
2,0,0,0,284,0,0,0
53,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
108,0,0,0,6138,0,0,0
8,0,0,10,0,0,0,0
4,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
1030,0,0,0,13728,0,0,0
5,0,0,18,1,0,0,0
46,0,0,0,0,0,0,0
39,0,1,0,0,0,0,0
30,0,37,2397,2,5,0,3
4,0,12,85,11,0,0,1
11,0,0,0,0,0,0,0
967,0,0,0,6362,0,0,0
10,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
17,0,0,0,3654,0,0,0
10,0,0,0,0,0,0,0
11,0,0,14,3,0,0,0
182,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
59,0,0,0,0,0,13,0
4,0,0,0,0,0,0,0
31,0,59,37,1,0,0,0
53,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0
18,0,0,5,0,1,0,0
1,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
78,0,0,0,7281,0,0,0
354,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0
63,0,11,1,0,0,0,0
89,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0
94,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
8,0,7,0,0,0,0,0
7,0,0,0,0,0,0,0
169,0,314,309,0,0,0,20
23,0,78,8587,17,0,0,0
1,0,0,0,0,0,0,0
12,0,0,0,747,0,0,0
11,0,4,10084,114,0,0,0
2,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
1,0,34,780,1,0,0,0
3,0,0,0,77,0,0,0
18,0,0,0,0,0,0,0
2,0,30,0,3,0,0,0
37,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
33,0,10,1,50,0,0,0
33,0,11,6,0,0,0,0
33,0,0,0,0,0,0,0
1,0,4,33,0,0,0,0
24,0,0,0,0,0,0,0
11,0,0,0,140,0,0,0
12,0,0,0,131,0,0,0
2,0,1,0,0,0,0,0
1,0,1,3,47,0,0,0
2,0,0,0,85,0,0,0
3,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
19,0,0,0,298,0,0,0
31,0,0,0,223,0,0,0
3,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
