"name","n","observedRichness","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iChao_est","iChao_lower","iChao_upper","iChao_increasePercent","level","iNEXT_increase","iChao_increase"
"Lesotho",1592,114,135,110.79610638915209,160.0341161521257,15.81,137,127,156,17,"Country",21,23
"Liberia",221,110,174,128.98514781255665,219.3574028829352,36.84,187,163,221,41.06,"Country",64,77
"Libya",620,287,438,380.2623420806593,495.5358146013683,34.46,467,428,516,38.48,"Country",151,180
"Liechtenstein",5163,417,527,476.78658564948,577.1893183971195,20.87,552,520,595,24.45,"Country",110,135
"Lithuania",5868,336,519,451.3875224465208,587.1181903563546,35.29,555,498,632,39.47,"Country",183,219
"Luxembourg",12954,370,425,396.0401439698181,453.0423437138739,12.85,437,416,468,15.33,"Country",55,67
"Macao",125,19,21,10.825919133791658,31.142080866208342,9.45,21,19,33,9.45,"Country",2,2
"Macedonia",89,31,102,13.439498683779334,191.4369058106027,69.74,120,57,336,74.26,"Country",71,89
"Madagascar",5756,226,302,259.0958552186055,344.5814927339336,25.13,317,287,360,28.64,"Country",76,91
"Malawi",2476,250,349,295.1646914490167,402.7803307642305,28.36,373,342,414,32.97,"Country",99,123
"Malaysia",7674,294,418,359.5243669813162,477.3843699301802,29.74,440,397,503,33.24,"Country",124,146
"Mali",81,61,103,60.97548225655861,144.0368634224537,40.49,103,80,152,40.49,"Country",42,42
"Malta",509,99,148,110.54070503168644,185.05289586643315,33.02,153,124,213,35.23,"Country",49,54
"Martinique",443,17,25,6.871074967729491,43.092807650780664,31.95,25,18,70,33.2,"Country",8,8
"Mauritius",54,18,26,0,56.31533243917741,30.37,27,22,43,34.19,"Country",8,9
"Mexico",287803,2287,2695,2612.580648042578,2777.4934394943293,15.14,2777,2706,2860,17.64,"Country",408,490
"Moldova",244,114,197,141.8339308762411,251.2486218169673,42,212,179,262,46.32,"Country",83,98
"Mongolia",1590,365,551,484.86969133500577,616.4543168894742,33.72,578,525,650,36.88,"Country",186,213
"Montenegro",970,205,322,271.8486081705518,373.108917602644,36.43,341,298,402,39.8,"Country",117,136
"Montserrat",46,17,18,6.617431007080711,28.640332968074567,3.57,18,17,23,3.57,"Country",1,1
"Morocco",12964,992,1436,1334.3778747032488,1536.6656964167755,30.9,1532,1448,1633,35.26,"Country",444,540
"Mozambique",930,219,350,282.47902524804863,416.8038255928667,37.36,370,327,429,40.81,"Country",131,151
"Myanmar",1018,215,338,277.878463508623,397.3248763734988,36.32,368,329,420,41.55,"Country",123,153
"Namibia",9086,420,556,497.8745685184871,614.7910709268134,24.51,584,542,641,28.13,"Country",136,164
"Nepal",2279,190,279,235.4869201229344,321.62580684586976,31.79,300,267,348,36.72,"Country",89,110
"Netherlands",493159,407,438,417.6835022732554,459.0989791153646,7.16,445,430,470,8.6,"Country",31,38
"New Caledonia",974,89,146,91.5659216523088,200.09504115855137,38.97,152,120,216,41.26,"Country",57,63
"New Zealand",13457,52,60,36.592636219893514,83.73948337090187,13.57,62,55,85,15.5,"Country",8,10
"Nicaragua",4384,180,228,192.40351419492865,264.3744055131006,21.19,240,219,271,24.96,"Country",48,60
"Niger",91,59,91,62.03643852065838,119.48004499582515,34.99,91,73,133,34.99,"Country",32,32
"Nigeria",1500,186,228,197.43692519961516,257.8408525781626,18.29,237,221,260,21.49,"Country",42,51
"Northern Mariana Islands",57,14,58,13.490642956684567,102.93040967489438,75.95,61,29,160,76.94,"Country",44,47
"Norway",142291,260,289,258.9997965028669,319.77756819342454,10.16,297,279,330,12.36,"Country",29,37
"Oman",470,111,141,113.61472955558742,167.78036757669753,21.11,146,133,166,24.11,"Country",30,35
"Pakistan",4017,355,494,426.9550408998608,560.6425028724403,28.11,516,474,573,31.24,"Country",139,161
"Palau",44,11,13,5.304270706606306,21.093456566120967,16.66,14,11,29,19.7,"Country",2,3
"Palestine",92,32,44,15.7737680558851,72.45992759628881,27.47,47,40,60,32.08,"Country",12,15
"Panama",10052,481,624,567.7861954632831,680.6259866136456,22.94,657,617,709,26.82,"Country",143,176
"Papua New Guinea",1962,254,342,298.58815688403604,385.3453826935189,25.72,359,331,398,29.35,"Country",88,105
"Paraguay",6443,536,724,661.212140771073,787.6077433688484,26.01,767,721,824,30.1,"Country",188,231
"Peru",19462,860,1234,1149.6646737535086,1317.3714080163124,30.28,1315,1233,1415,34.6,"Country",374,455
"Philippines",2452,248,388,328.3780823185303,447.5362849618239,36.08,413,366,479,40.02,"Country",140,165
"Poland",162060,528,665,608.8918298285765,721.2292856993523,20.61,698,660,746,24.37,"Country",137,170
"Portugal",18569,770,1037,956.4527104281144,1117.4253166463518,25.74,1102,1051,1163,30.16,"Country",267,332
"Puerto Rico",2349,71,87,65.6879996113466,108.40944138009183,18.44,91,82,107,22.02,"Country",16,20
"Republic of Cabo Verde",148,23,29,12.415120099621308,46.2983934138922,21.65,29,24,53,21.65,"Country",6,6
"Republic of Korea",12235,226,310,263.9127498438208,355.20402491142517,26.99,321,286,376,29.51,"Country",84,95
"Republic of the Congo",663,119,172,133.71262488713637,209.92779743563892,30.74,179,156,216,33.47,"Country",53,60
"Romania",9593,732,1009,935.3986633017424,1081.6960555656856,27.42,1060,1000,1135,30.97,"Country",277,328
"Russian Federation",52290,1270,1644,1552.4784376196349,1735.262506977936,22.74,1728,1658,1811,26.51,"Country",374,458
"Rwanda",187,51,68,42.08078621284814,93.66088388176313,24.86,72,63,88,29.26,"Country",17,21
"Saint Lucia",98,32,42,17.834931316322532,66.52658471866289,24.14,44,38,58,27.78,"Country",10,12
"Saint Vincent and the Grenadines",254,48,75,44.17627405329549,106.7316983876494,36.39,79,62,112,38.86,"Country",27,31
