"scientificName","n","dataFrom"
"Megachile palmensis Mitchell, 1934",81,"points"
"Megachile palmeri Cresson, 1878",2,"points"
"Megachile pamirensis Cockerell, 1911",2,"points"
"Megachile pampeana Vachal, 1908",5,"points"
"Megachile pankus Bzdyk, 2012",3,"points"
"Megachile papuae (Michener, 1965)",1,"points"
"Megachile paracallida Rayment, 1935",135,"points"
"Megachile parallela Smith, 1853",3831,"points"
"Megachile parancinnula Cockerell, 1937",5,"points"
"Megachile pararhodura Cockerell, 1910",14,"points"
"Megachile paraxanthura Cockerell, 1914",4,"points"
"Megachile parietina (Geoffroy, 1785)",1148,"points"
"Megachile parksi Mitchell, 1936",6,"points"
"Megachile parornata Chatthanabun, Warrit and Ascher, 2020",2,"points"
"Megachile parsonsiae Schrottky, 1913",14,"points"
"Megachile pascoensis Mitchell, 1934",205,"points"
"Megachile patagonica Vachal, 1904",13,"points"
"Megachile patellimana Spinola, 1838",65,"points"
"Megachile patera (King, 1994)",4,"points"
"Megachile paulista (Schrottky, 1920)",2,"points"
"Megachile paulistana Schrottky, 1902",227,"points"
"Megachile pedalis Fox, 1891",22,"points"
"Megachile penetrata Smith, 1879",1,"points"
"Megachile perfimbriata Cockerell, 1931",3,"points"
"Megachile perihirta Cockerell, 1898",3666,"points"
"Megachile permunda Cockerell, 1912",2,"points"
"Megachile perochracea Cockerell, 1913",3,"points"
"Megachile perpunctata Cockerell, 1896",2,"points"
"Megachile persimilis Cockerell, 1937",2,"points"
"Megachile perspicua Mitchell, 1930",1,"points"
"Megachile peruviana Smith, 1879",1,"points"
"Megachile petulans Cresson, 1878",1505,"points"
"Megachile pexa Rebmann, 1968",9,"points"
"Megachile phaola Cameron, 1907",1,"points"
"Megachile phenacopyga Cockerell, 1910",2,"points"
"Megachile philinca Cockerell, 1912",4,"points"
"Megachile philippinensis Cockerell, 1916",2,"points"
"Megachile phillipensis Rayment, 1935",1,"points"
"Megachile pictiventris Smith, 1879",152,"points"
"Megachile piliceps Saussure, 1890",157,"points"
"Megachile pilicrus Morawitz, 1877",199,"points"
"Megachile pilidens Alfken, 1924",1758,"points"
"Megachile piliventris Morawitz, 1887",2,"points"
"Megachile pilosa Smith, 1879",3,"points"
"Megachile pilosella Friese, 1922",50,"points"
"Megachile piurensis Cockerell, 1911",29,"points"
"Megachile planula Vachal, 1908",122,"points"
"Megachile platystoma Pasteels, 1965",3,"points"
"Megachile pluto Smith, 1860",7,"points"
"Megachile poeyi Guérin-Méneville, 1845",75,"points"
"Megachile policaris Say, 1831",2800,"points"
"Megachile polita Cockerell, 1924",2,"points"
"Megachile pollinosa Spinola, 1851",1536,"points"
"Megachile polychroma Cockerell, 1937",16,"points"
"Megachile portalis Cockerell, 1913",2,"points"
"Megachile postnigra Cockerell, 1937",3,"points"
"Megachile praecipua Mitchell, 1930",1,"points"
"Megachile preissi Cockerell, 1910",62,"points"
"Megachile pretiosa Friese, 1909",21,"points"
"Megachile propinqua Smith, 1879",2,"points"
"Megachile prosopidis Cockerell, 1900",1110,"points"
"Megachile proxima Smith, 1870",1,"points"
"Megachile prudens Mitchell, 1930",1,"points"
"Megachile pruina Smith, 1853",373,"points"
"Megachile pseudanthidioides Moure, 1943",51,"points"
"Megachile pseudobrevis Mitchell, 1935",449,"points"
"Megachile pseudofulva (Pasteels, 1965)",28,"points"
"Megachile pseudolegalis Mitchell, 1957",1,"points"
"Megachile pseudomonticola Hedicke, 1925",109,"points"
"Megachile pseudonigra Mitchell, 1927",38,"points"
"Megachile pseudopleuralis Schrottky, 1913",1,"points"
"Megachile pugnata Say, 1837",2616,"points"
"Megachile pulchella Morawitz, 1875",1,"points"
"Megachile pulchra Smith, 1879",6,"points"
"Megachile pulchrifrons Cockerell, 1933",1,"points"
"Megachile pulchriventris Cockerell, 1923",2,"points"
"Megachile pullata Smith, 1879",2,"points"
"Megachile punctata Smith, 1853",93,"points"
"Megachile punctolineata Cockerell, 1935",7,"points"
"Megachile punctomarginata Schulten, 1977",2,"points"
"Megachile pusilla Pérez, 1884",122,"points"
"Megachile pyrenaea Pérez, 1890",1244,"points"
"Megachile pyrenaica Lepeletier, 1841",750,"points"
"Megachile pyrrhogastra Cockerell, 1913",4,"points"
"Megachile pyrrhothorax Schletterer, 1891",12,"points"
"Megachile pyrrhotricha Cockerell, 1913",3,"points"
"Megachile quadridentata Mitchell, 1930",49,"points"
"Megachile quadrispinosella Strand, 1910",83,"points"
"Megachile quartinae Gribodo, 1884",6,"points"
"Megachile quinquelineata Cockerell, 1906",19,"points"
"Megachile ramakrishnae Cockerell, 1919",8,"points"
"Megachile rambutwan Cheesman, 1936",3,"points"
"Megachile ramera Cockerell, 1918",3,"points"
"Megachile ramulipes Cockerell, 1913",70,"points"
"Megachile rancaguensis Friese, 1905",125,"points"
"Megachile rangii Cheesman, 1936",1,"points"
"Megachile rawi Engel, 1999",1,"points"
"Megachile recisa Cockerell, 1913",1,"points"
"Megachile recta Mitchell, 1930",5,"points"
"Megachile reflexa (Snelling, 1990)",91,"points"
"Megachile regina Friese, 1903",9,"points"
"Megachile relata Smith, 1879",9,"points"
"Megachile relativa Cresson, 1878",3262,"points"
"Megachile reliqua Mitchell, 1930",2,"points"
"Megachile remeata Cockerell, 1913",55,"points"
"Megachile remota Smith, 1879",112,"points"
"Megachile remotissima Cockerell, 1926",7,"points"
"Megachile remotula Cockerell, 1910",142,"points"
"Megachile resinifera Meade-Waldo, 1915",118,"points"
"Megachile revicta Cockerell, 1913",2,"points"
"Megachile rhododendri Cockerell, 1927",11,"points"
"Megachile rhodogastra Cockerell, 1910",16,"points"
"Megachile rhodoleucura Cockerell, 1937",3,"points"
"Megachile rhodopus Cockerell, 1896",61,"points"
"Megachile rhodura Cockerell, 1906",111,"points"
"Megachile richtersveldensis Eardley, 2012",2,"points"
"Megachile riggenbachiana Strand, 1911",6,"points"
"Megachile riojanensis Mitchell, 1930",2,"points"
"Megachile rixator Cockerell, 1911",11,"points"
"Megachile riyadhensis (Alqarni, Hannan, Gonzalez and Engel, 2012)",7,"points"
"Megachile robertiana Cameron, 1905",1,"points"
"Megachile roeweri (Alfken, 1928)",4,"points"
"Megachile rosarum Cockerell, 1931",3,"points"
"Megachile rossi Mitchell, 1943",369,"points"
"Megachile rottnestensis Rayment, 1934",194,"points"
"Megachile rotundata (Fabricius, 1787)",6413,"points"
"Megachile rotundipennis W. F. Kirby, 1900",2,"points"
"Megachile rowlandi Cockerell, 1930",2,"points"
"Megachile rubi Mitchell, 1924",121,"points"
"Megachile rubicunda Smith, 1879",1,"points"
"Megachile rubricata Smith, 1853",9,"points"
"Megachile rubricrus Moure, 1948",9,"points"
"Megachile rubrigena (Pasteels, 1965)",1,"points"
"Megachile rubrimana Morawitz, 1893",27,"points"
"Megachile rubriventris Smith, 1879",2,"points"
"Megachile ruda (Pasteels, 1965)",6,"points"
"Megachile rufa Friese, 1903",11,"points"
"Megachile rufescens (Pérez, 1879)",29,"points"
"Megachile ruficheloides Strand, 1911",1,"points"
"Megachile ruficornis Smith, 1853",1,"points"
"Megachile rufigaster Cockerell, 1945",10,"points"
"Megachile rufipennis (Fabricius, 1793)",164,"points"
"Megachile rufipes (Fabricius, 1781)",160,"points"
"Megachile rufiscopa Saussure, 1890",33,"points"
"Megachile rufitarsis (Lepeletier, 1841)",7,"points"
"Megachile rufiventris Guérin-Méneville, 1834",472,"points"
"Megachile rufobarbata Cockerell, 1936",1,"points"
"Megachile rufoflagellata Alfken, 1936",1,"points"
"Megachile rufofulva Cockerell, 1918",4,"points"
"Megachile rufohirtula Cockerell, 1937",18,"points"
"Megachile rufolobata Cockerell, 1913",8,"points"
"Megachile rufomaculata Rayment, 1935",27,"points"
"Megachile rufoscopacea Friese, 1903",31,"points"
"Megachile rufothoracica (Gupta and Sharma, 1993)",8,"points"
"Megachile rufovittata Cockerell, 1911",52,"points"
"Megachile rugicauda Cameron, 1908",1,"points"
"Megachile rugifrons (Smith, 1854)",120,"points"
"Megachile rugipuncta Alfken, 1934",3,"points"
"Megachile rugosa Smith, 1879",79,"points"
"Megachile rupshuensis Cockerell, 1911",1,"points"
"Megachile sabinensis Mitchell, 1934",184,"points"
"Megachile saigonensis Cockerell, 1920",45,"points"
"Megachile salsburyana Friese, 1922",32,"points"
"Megachile sanguinipes Morawitz, 1875",46,"points"
"Megachile santacrucensis Durante, Abrahamovich and Lucia, 2006",45,"points"
"Megachile sarawakensis Cameron, 1905",1,"points"
"Megachile saulcyi Guérin-Méneville, 1845",1771,"points"
"Megachile saussurei Radoszkowski, 1874",16,"points"
"Megachile sauteri Hedicke, 1925",8,"points"
"Megachile scheviakovi Cockerell, 1928",2,"points"
"Megachile schmidti Friese, 1917",2,"points"
"Megachile schmiedeknechti Costa, 1884",162,"points"
"Megachile schnabli Radoszkowski, 1893",3,"points"
"Megachile schulthessi Friese, 1903",41,"points"
"Megachile schwimmeri Engel, 2017",1,"points"
"Megachile scindularia Buysson, 1903",5,"points"
"Megachile sculpturalis Smith, 1853",5247,"points"
"Megachile scutellata Smith, 1879",6,"points"
"Megachile sedilloti Pérez, 1895",14,"points"
"Megachile seducta Mitchell, 1934",3,"points"
"Megachile sedula Smith, 1879",10,"points"
"Megachile seewaldi Strand, 1911",83,"points"
"Megachile sejuncta Cockerell, 1927",2,"points"
"Megachile semibarbata Cockerell, 1937",1,"points"
"Megachile semicandens Cockerell, 1910",448,"points"
"Megachile semicircularis van der Zanden, 1996",5,"points"
"Megachile semiclara Cockerell, 1929",1,"points"
"Megachile semicognata Cockerell, 1937",1,"points"
"Megachile semierma Vachal, 1903",100,"points"
"Megachile semiluctuosa Smith, 1853",488,"points"
"Megachile semireticulata Cameron, 1909",1,"points"
"Megachile semirufa (Sichel, 1868)",422,"points"
"Megachile semota Cockerell, 1927",24,"points"
"Megachile septentrionella Pasteels, 1965",36,"points"
"Megachile sequior Cockerell, 1910",49,"points"
"Megachile seraxensis Radoszkowski, 1893",5,"points"
"Megachile sericeicauda Cockerell, 1910",1,"points"
"Megachile serraticauda Cockerell, 1938",5,"points"
"Megachile serricauda Cockerell, 1910",418,"points"
"Megachile setosa Vachal, 1908",3,"points"
"Megachile sexmaculata Smith, 1868",1,"points"
"Megachile seychellensis Cameron, 1907",11,"points"
"Megachile sheppardi (Pasteels, 1965)",2,"points"
"Megachile shortlandi Cockerell, 1911",8,"points"
"Megachile siamensis Cockerell, 1927",15,"points"
"Megachile sicheli Friese, 1903",1,"points"
"Megachile sichotana Cockerell, 1924",2,"points"
"Megachile sicula (Rossi, 1794)",381,"points"
"Megachile sidalceae Cockerell, 1897",1255,"points"
"Megachile sikkimi Radoszkowski, 1882",1,"points"
"Megachile sikorae Friese, 1900",3,"points"
"Megachile silverlocki Meade-Waldo, 1913",9,"points"
"Megachile similis Smith, 1879",7,"points"
"Megachile simillima Smith, 1853",51,"points"
"Megachile simlaensis Cameron, 1909",2,"points"
"Megachile simonyi Friese, 1903",5,"points"
"Megachile simplex Smith, 1853",206,"points"
"Megachile simpliciformis Cockerell, 1918",2,"points"
"Megachile simplicipes Friese, 1921",81,"points"
"Megachile simulator Cockerell, 1937",2,"points"
"Megachile singularis Cresson, 1865",13,"points"
"Megachile sinuata Friese, 1903",306,"points"
"Megachile slevini Cockerell, 1924",1,"points"
"Megachile snowi Mitchell, 1927",247,"points"
"Megachile soikai Benoist, 1961",4,"points"
"Megachile soledadensis Cockerell, 1900",127,"points"
"Megachile sonorana Cockerell, 1924",1,"points"
"Megachile speluncarum Meade-Waldo, 1915",366,"points"
"Megachile spinotulata Mitchell, 1934",531,"points"
"Megachile spissula Cockerell, 1911",526,"points"
"Megachile squalens Haliday, 1836",97,"points"
"Megachile squamosa_homonym Rebmann, 1970",1,"points"
"Megachile staudingeri Friese, 1905",2,"points"
"Megachile steinbachi Friese, 1906",4,"points"
"Megachile stenodesma Schrottky, 1913",1,"points"
"Megachile sterilis Mitchell, 1930",1,"points"
"Megachile sternintegra (Pasteels, 1965)",10,"points"
"Megachile stirostoma Cameron, 1913",2,"points"
"Megachile stoddardensis Mitchell, 1957",12,"points"
"Megachile stomatura Cockerell, 1917",13,"points"
"Megachile strangei (Gonzalez and Engel, 2012)",1,"points"
"Megachile strenua Smith, 1879",2,"points"
"Megachile structilis Cockerell, 1918",2,"points"
"Megachile strupigera Cockerell, 1922",3,"points"
"Megachile stulta Bingham, 1897",61,"points"
"Megachile suavida Cameron, 1908",2,"points"
"Megachile subalbuta Yasumatsu, 1936",101,"points"
"Megachile subexilis Cockerell, 1908",679,"points"
"Megachile subferox Meade-Waldo, 1915",81,"points"
"Megachile sublaurita Mitchell, 1927",992,"points"
"Megachile submetallica Benoist, 1955",186,"points"
"Megachile subnigra Cresson, 1879",406,"points"
"Megachile subparallela Mitchell, 1944",12,"points"
"Megachile subremotula Rayment, 1934",4,"points"
"Megachile subrixator Cockerell, 1915",52,"points"
"Megachile sudanica Magretti, 1899",1,"points"
"Megachile suffusipennis Cockerell, 1906",6,"points"
"Megachile sumatrana Friese, 1918",8,"points"
"Megachile sumichrasti Cresson, 1878",2,"points"
"Megachile suspecta Vachal, 1909",1,"points"
"Megachile susurrans Haliday, 1836",150,"points"
"Megachile sycophanta Cameron, 1897",6,"points"
"Megachile szentivanyi (Michener, 1965)",1,"points"
"Megachile tacanensis Moure, 1948",4,"points"
"Megachile taiwanicola Yasumatsu and Hirashima, 1965",55,"points"
"Megachile takaoensis Cockerell, 1911",27,"points"
"Megachile tangensis Cockerell, 1937",1,"points"
"Megachile tantilla Cockerell, 1937",2,"points"
"Megachile tarsatula Cockerell, 1915",2,"points"
"Megachile tasmanica Cockerell, 1916",51,"points"
"Megachile tecta Radoszkowski, 1888",4,"points"
"Megachile temora Cameron, 1905",1,"points"
"Megachile tenuicincta Cockerell, 1929",5,"points"
"Megachile tenuitarsis Schrottky, 1920",17,"points"
"Megachile tepaneca Cresson, 1878",384,"points"
"Megachile terminalis Smith, 1858",33,"points"
"Megachile terminata Morawitz, 1875",11,"points"
"Megachile terrestris Schrottky, 1902",59,"points"
"Megachile tertia Dalla Torre, 1896",3,"points"
"Megachile tetracantha Cockerell, 1937",1,"points"
"Megachile tetrazona Friese, 1908",1,"points"
"Megachile texana Cresson, 1878",2209,"points"
"Megachile texensis Mitchell, 1956",69,"points"
"Megachile thoracica Smith, 1853",7,"points"
"Megachile thygaterella Schrottky, 1913",22,"points"
"Megachile tiburonensis Cockerell, 1924",1,"points"
"Megachile timida Mitchell, 1930",1,"points"
"Megachile timorensis Friese, 1918",1,"points"
"Megachile toluca Cresson, 1878",297,"points"
"Megachile torrida Smith, 1853",231,"points"
"Megachile toscata Mitchell, 1934",1,"points"
"Megachile tosticauda Cockerell, 1912",2381,"points"
"Megachile townsendiana Cockerell, 1898",635,"points"
"Megachile toxopei Alfken, 1926",1,"points"
"Megachile tranquilla Cockerell, 1911",29,"points"
"Megachile transiens (Pasteels, 1965)",1,"points"
"Megachile trepida Mitchell, 1930",2,"points"
"Megachile trichorhytisma Engel, 2006",2,"points"
"Megachile trichrootricha Moure, 1953",1,"points"
"Megachile tricincta Bingham, 1897",3,"points"
"Megachile tricosa Cockerell, 1927",4,"points"
"Megachile tridentata Ashmead, 1900",1,"points"
"Megachile trigonaspis Schrottky, 1913",96,"points"
"Megachile trochantina Vachal, 1909",26,"points"
"Megachile troodica Mavromoustakis, 1953",5,"points"
"Megachile trusanica (Engel, 2011)",1,"points"
"Megachile tsimbazazae (Pauly, 2001)",5,"points"
"Megachile tsurugensis Cockerell, 1924",1601,"points"
"Megachile tuberculata Smith, 1857",7,"points"
"Megachile tuberculifera Schrottky, 1913",9,"points"
"Megachile tucumana Vachal, 1908",1,"points"
"Megachile tupinaquina Schrottky, 1913",9,"points"
"Megachile turneri (Meade-Waldo, 1913)",6,"points"
"Megachile uamiella Pasteels, 1965",4,"points"
"Megachile ulrica Nurse, 1902",9,"points"
"Megachile umatillensis (Mitchell, 1927)",211,"points"
"Megachile umbiloensis Cockerell, 1920",1,"points"
"Megachile umbripennis Smith, 1853",390,"points"
"Megachile ungulata Smith, 1853",205,"points"
"Megachile urbana Smith, 1879",2,"points"
"Megachile ustulata Smith, 1862",19,"points"
"Megachile vagata Vachal, 1908",172,"points"
"Megachile valdezi Cockerell, 1916",6,"points"
"Megachile vanduzeei Cockerell, 1924",1,"points"
"Megachile variabilis_unavailable (King, 1994)",32,"points"
"Megachile variplantis Vachal, 1909",32,"points"
"Megachile variscopula Cockerell, 1931",1,"points"
"Megachile velutina Smith, 1853",50,"points"
"Megachile ventralis Smith, 1860",1,"points"
"Megachile ventrisi Engel, 2008",6,"points"
"Megachile venusta Smith, 1853",218,"points"
"Megachile venustella Cockerell, 1917",142,"points"
"Megachile vera Nurse, 1902",14,"points"
"Megachile veraecrucis Cockerell, 1896",3,"points"
"Megachile verrucosa Brèthes, 1909",19,"points"
"Megachile versicolor Smith, 1844",6367,"points"
"Megachile vestis Mitchell, 1930",3,"points"
"Megachile vestita Smith, 1853",1,"points"
"Megachile vestitor Cockerell, 1910",24,"points"
"Megachile veterna Vachal, 1908",2,"points"
"Megachile viator Mitchell, 1930",20,"points"
"Megachile victoriana Mitchell, 1934",1,"points"
"Megachile vigilans Smith, 1878",1,"points"
"Megachile villipes Morawitz, 1875",2,"points"
"Megachile virescens Cockerell, 1912",13,"points"
"Megachile viridicollis Morawitz, 1875",4,"points"
"Megachile viridinitens Cockerell, 1930",1,"points"
"Megachile vitraci Pérez, 1884",1,"points"
"Megachile wahlbergi Friese, 1901",36,"points"
"Megachile walkeri Dalla Torre, 1896",29,"points"
"Megachile wallacei Cameron, 1905",1,"points"
"Megachile waterbergensis Strand, 1911",37,"points"
"Megachile waterhousei Cockerell, 1906",6,"points"
"Megachile wheeleri Mitchell, 1927",308,"points"
"Megachile willowmorensis Brauns, 1926",2,"points"
"Megachile willughbiella (Kirby, 1802)",13155,"points"
"Megachile wilmattae Cockerell, 1924",2,"points"
"Megachile woodfordi Cockerell, 1911",4,"points"
"Megachile wyomingensis Mitchell, 1934",3,"points"
"Megachile xanthothrix Yasumatsu and Hirashima, 1964",44,"points"
"Megachile xanthura Spinola, 1853",3,"points"
"Megachile xerophila Cockerell, 1933",551,"points"
"Megachile xylocopoides Smith, 1853",3699,"points"
"Megachile yaeyamaensis Yasumatsu and Hirashima, 1964",189,"points"
"Megachile yasumatsui Hirashima, 1974",92,"points"
"Megachile yumensis Mitchell, 1944",7,"points"
"Megachile zapoteca Cresson, 1878",714,"points"
"Megachile zaptlana Cresson, 1878",310,"points"
"Megachile zexmeniae Cockerell, 1912",255,"points"
"Megachile zombae Schulten, 1977",2,"points"
"Megalopta aegis (Vachal, 1904)",2,"points"
"Megalopta aeneicollis Friese, 1926",3,"points"
"Megalopta amoena (Spinola, 1853)",510,"points"
"Megalopta atra Engel, 2006",60,"points"
"Megalopta byroni Engel, Brooks and Yanega, 1997",5,"points"
"Megalopta chaperi (Vachal, 1904)",1,"points"
"Megalopta furunculosa Hinojosa-Díaz and Engel, 2003",2,"points"
"Megalopta genalis Meade-Waldo, 1916",472,"points"
"Megalopta guarani Santos and Melo, 2014",1,"points"
"Megalopta guimaraesi Santos and Silveira, 2009",2,"points"
"Megalopta huaoranii Gonzalez, Griswold and Ayala, 2010",1,"points"
"Megalopta munduruku Santos and Melo, 2014",11,"points"
"Megalopta mura Santos and Melo, 2014",13,"points"
"Megalopta nitidicollis Friese, 1926",1,"points"
"Megalopta piraha Santos and Melo, 2014",67,"points"
"Megalopta purpurata Smith, 1879",1,"points"
"Megalopta sodalis (Vachal, 1904)",18,"points"
"Megalopta sulciventris Friese, 1926",5,"points"
"Megalopta tacarunensis Cockerell, 1923",1,"points"
"Megalopta tetewana Gonzalez, Griswold and Ayala, 2010",110,"points"
"Megalopta yanomami Santos and Melo, 2014",5,"points"
"Megaloptidia contradicta (Cockerell, 1900)",9,"points"
"Megaloptidia nocturna (Friese, 1926)",22,"points"
"Megaloptidia saulensis Engel and Brooks, 1998",2,"points"
"Megaloptilla byronella Engel and Brooks, 1999",7,"points"
"Megaloptilla callopis (Vachal, 1911)",26,"points"
"Megaloptina ogilviei (Cockerell, 1930)",28,"points"
"Megandrena enceliae (Cockerell, 1927)",869,"points"
"Megandrena mentzeliae Zavortink, 1972",423,"points"
"Meganomia andersoni (Meade-Waldo, 1916)",17,"points"
"Meganomia binghami (Cockerell, 1909)",176,"points"
"Meganomia gigas Michener, 1981",172,"points"
"Meganomia rossi Michener, 1981",4,"points"
"Megascirtetica mephistophelica (Schrottky, 1902)",2,"points"
"Megommation insigne (Smith, 1853)",9,"points"
"Melanempis atra (Saussure, 1890)",2,"points"
"Melanempis eremnochlora Brooks and Pauly, 2001",3,"points"
"Melanempis scoliiformis Brooks and Pauly, 2001",16,"points"
"Melanomia obscura (Benoist, 1964)",1,"points"
"Melecta aegyptiaca Radoszkowski, 1876",16,"points"
"Melecta albifrons (Forster, 1771)",3272,"points"
"Melecta alcestis Lieftinck, 1980",1,"points"
"Melecta alexanderi Griswold and Parker, 1999",163,"points"
"Melecta amanda Lieftinck, 1980",1,"points"
"Melecta angustilabris Lieftinck, 1980",3,"points"
"Melecta assimilis Radoszkowski, 1876",2,"points"
"Melecta atroalba (Lieftinck, 1972)",1,"points"
"Melecta baerii (Radoszkowski, 1865)",1,"points"
"Melecta bohartorum Linsley, 1939",154,"points"
"Melecta brevipila Lieftinck, 1980",1,"points"
"Melecta canariensis Lieftinck, 1958",1,"points"
"Melecta candida Lieftinck, 1980",1,"points"
"Melecta caroli Lieftinck, 1958",61,"points"
"Melecta chinensis Cockerell, 1931",7,"points"
"Melecta corpulenta Morawitz, 1875",2,"points"
"Melecta curvispina Lieftinck, 1958",191,"points"
"Melecta diacantha Eversmann, 1852",2,"points"
"Melecta diligens Lieftinck, 1983",243,"points"
"Melecta duodecimmaculata (Rossi, 1790)",12,"points"
"Melecta edwardsii Cresson, 1878",71,"points"
"Melecta emodi Baker, 1997",1,"points"
"Melecta excelsa Lieftinck, 1980",1,"points"
"Melecta festiva Lieftinck, 1980",31,"points"
"Melecta fulgida Lieftinck, 1980",37,"points"
"Melecta fumipennis Lieftinck, 1980",4,"points"
"Melecta funeraria Smith, 1854",4,"points"
"Melecta fuscipennis Morawitz, 1875",2,"points"
"Melecta gracilipes Lieftinck, 1980",2,"points"
"Melecta grandis Lepeletier, 1841",3,"points"
"Melecta guichardi Lieftinck, 1980",4,"points"
"Melecta guilochei Dusmet y Alonso, 1915",1,"points"
"Melecta honesta Lieftinck, 1980",2,"points"
"Melecta italica Radoszkowski, 1876",25,"points"
"Melecta kuschakewiczi (Radoszkowski, 1891)",1,"points"
"Melecta leucorhyncha Gribodo, 1894",2,"points"
"Melecta luctuosa (Scopoli, 1770)",688,"points"
"Melecta mundula Lieftinck, 1983",1,"points"
"Melecta nivosa Morawitz, 1893",2,"points"
"Melecta obscura Friese, 1895",10,"points"
"Melecta pacifica Cresson, 1878",589,"points"
"Melecta prophanta Lieftinck, 1980",2,"points"
"Melecta separata Cresson, 1879",325,"points"
"Melecta sibirica Radoszkowski, 1891",14,"points"
"Melecta sinaitica (Alfken, 1937)",3,"points"
"Melecta thoracica Cresson, 1875",338,"points"
"Melecta transcaspica Morawitz, 1894",4,"points"
"Melecta tuberculata Lieftinck, 1980",8,"points"
"Melecta turkestanica Radoszkowski, 1893",1,"points"
"Melectoides bellus (Jörgensen, 1912)",19,"points"
"Melectoides cockerelli (Jörgensen, 1912)",8,"points"
"Melectoides fumipennis Roig-Alsina, 1991",2,"points"
"Melectoides kiefferi (Jörgensen, 1912)",4,"points"
"Melectoides niveiventris (Friese, 1925)",5,"points"
"Melectoides politus Roig-Alsina, 1991",4,"points"
"Melectoides rozeni (Toro, 1971)",5,"points"
"Melectoides triseriatus (Friese, 1908)",179,"points"
"Melectoides tucumanus (Friese, 1906)",4,"points"
"Meliphilopsis melanandra Roig-Alsina, 1994",55,"points"
"Meliphilopsis ochrandra Roig-Alsina, 1994",149,"points"
"Meliplebeia beccarii (Gribodo, 1879)",355,"points"
"Meliplebeia gambiana Moure, 1961",1,"points"
"Meliplebeia roubiki (Eardley, 2004)",17,"points"
"Melipona amazonica Schulz, 1905",111,"points"
"Melipona ambigua Roubik and Camargo, 2012",2,"points"
"Melipona asilvai Moure, 1971",386,"points"
"Melipona baeri Vachal, 1904",83,"points"
"Melipona beecheii Bennett, 1831",2098,"points"
"Melipona belizeae Schwarz, 1932",51,"points"
"Melipona bicolor Lepeletier, 1836",1257,"points"
"Melipona boliviana Schwarz, 1932",36,"points"
"Melipona brachychaeta Moure, 1950",147,"points"
"Melipona bradleyi Schwarz, 1932",71,"points"
"Melipona capixaba Moure and Camargo, 1995",25,"points"
"Melipona captiosa Moure, 1962",56,"points"
"Melipona carrikeri Cockerell, 1919",25,"points"
"Melipona colimana Ayala, 1999",27,"points"
"Melipona compressipes (Fabricius, 1804)",411,"points"
"Melipona costaricensis Cockerell, 1919",1832,"points"
"Melipona cramptoni Cockerell, 1920",5,"points"
"Melipona crinita Moure and Kerr, 1950",612,"points"
"Melipona dubia Moure and Kerr, 1950",6,"points"
"Melipona eburnea Friese, 1900",394,"points"
"Melipona fallax Camargo and Pedro, 2008",24,"points"
"Melipona fasciata Latreille, 1811",656,"points"
"Melipona fasciculata Smith, 1854",660,"points"
"Melipona favosa (Fabricius, 1798)",594,"points"
"Melipona flavolineata Friese, 1900",1182,"points"
"Melipona fuliginosa Lepeletier, 1836",562,"points"
"Melipona fulva Lepeletier, 1836",426,"points"
"Melipona fuscopilosa Moure and Kerr, 1950",318,"points"
"Melipona grandis Guérin-Méneville, 1845",614,"points"
"Melipona illota Cockerell, 1919",41,"points"
"Melipona illustris Schwarz, 1932",133,"points"
"Melipona indecisa Cockerell, 1919",37,"points"
"Melipona insularis Roubik and Camargo, 2012",4,"points"
"Melipona interrupta Latreille, 1811",327,"points"
"Melipona lateralis Erichson, 1848]",219,"points"
"Melipona lunulata Friese, 1900",5,"points"
"Melipona lupitae Ayala, 1999",8,"points"
"Melipona mandacaia Smith, 1863",253,"points"
"Melipona marginata Lepeletier, 1836",1011,"points"
"Melipona melanoventer Schwarz, 1932",408,"points"
"Melipona micheneri Schwarz, 1951",33,"points"
"Melipona mimetica Cockerell, 1914",27,"points"
"Melipona mondury Smith, 1863",81,"points"
"Melipona nebulosa Camargo, 1988",461,"points"
"Melipona nigrescens Friese, 1900",20,"points"
"Melipona obscurior Moure, 1971",173,"points"
"Melipona ogilviei Schwarz, 1932",28,"points"
"Melipona orbignyi (Guérin-Méneville, 1845)",127,"points"
"Melipona panamica Cockerell, 1919",264,"points"
"Melipona paraensis Ducke, 1916",1911,"points"
"Melipona peruviana Friese, 1900",28,"points"
"Melipona phenax Cockerell, 1919",162,"points"
"Melipona puncticollis Friese, 1902",300,"points"
"Melipona quadrifasciata Lepeletier, 1836",1658,"points"
"Melipona quinquefasciata Lepeletier, 1836",449,"points"
"Melipona rufescens Friese, 1900",18,"points"
"Melipona rufiventris Lepeletier, 1836",705,"points"
"Melipona salti Schwarz, 1932",17,"points"
"Melipona schwarzi Moure, 1963",169,"points"
"Melipona scutellaris Latreille, 1811",707,"points"
"Melipona seminigra Friese, 1903",4198,"points"
"Melipona solani Cockerell, 1912",401,"points"
"Melipona subnitida Ducke, 1910",714,"points"
"Melipona titania Gribodo, 1893",13,"points"
"Melipona torrida Friese, 1917",605,"points"
"Melipona trinitatis Cockerell, 1919",209,"points"
"Melipona triplaridis Cockerell, 1925",109,"points"
"Melipona tumupasae Schwarz, 1932",10,"points"
"Melipona variegatipes Gribodo, 1893",10,"points"
"Melipona yucatanica Camargo, Moure and Roubik, 1988",93,"points"
"Meliponula bocandei (Spinola, 1853)",231,"points"
