"scientificName","n","dataFrom"
"Alloscirtetica chilena Urban, 1971",182,"points"
"Alloscirtetica cinerea Michener, LaBerge and Moure, 1955",3,"points"
"Alloscirtetica corvina (Friese, 1908)",1,"points"
"Alloscirtetica diplaspis (Cockerell, 1926)",3,"points"
"Alloscirtetica escomeli (Cockerell, 1926)",3,"points"
"Alloscirtetica frieseana (Herbst, 1920)",12,"points"
"Alloscirtetica gayi (Spinola, 1851)",512,"points"
"Alloscirtetica gazullai (Ruiz, 1938)",52,"points"
"Alloscirtetica gelida Vivallo, 2009",2,"points"
"Alloscirtetica gilva (Holmberg, 1884)",32,"points"
"Alloscirtetica herbsti (Friese, 1906)",86,"points"
"Alloscirtetica lanosa Urban, 1971",51,"points"
"Alloscirtetica lusor (Cockerell, 1918)",5,"points"
"Alloscirtetica paraguayensis (Friese, 1909)",26,"points"
"Alloscirtetica porteri (Ruiz, 1938)",45,"points"
"Alloscirtetica rufitarsis (Bertoni, 1918)",156,"points"
"Alloscirtetica segmentaria (Brèthes, 1910)",146,"points"
"Alloscirtetica spegazzinii (Brèthes, 1910)",8,"points"
"Alloscirtetica tornowii (Brèthes, 1910)",2,"points"
"Alloscirtetica tristrigata (Spinola, 1851)",444,"points"
"Alloscirtetica vagabunda Vivallo, 2003",4,"points"
"Alloscirtetica valparadisaea (Herbst, 1920)",333,"points"
"Alloscirtetica vara (Brèthes, 1910)",3,"points"
"Alloscirtetica weyrauchi Michener, LaBerge and Moure, 1955",3,"points"
"Alloxaea brevipalpis (Ascher, Engel and Griswold, 2006)",5,"points"
"Alocandrena porteri Michener, 1986",96,"points"
"Amegilla acraensis (Fabricius, 1793)",872,"points"
"Amegilla adelaidae (Cockerell, 1905)",163,"points"
"Amegilla advenula (Cockerell, 1930)",2,"points"
"Amegilla aerizusa (Vachal, 1903)",8,"points"
"Amegilla aeruginosa (Smith, 1854)",672,"points"
"Amegilla africana (Friese, 1905)",41,"points"
"Amegilla albiceps (Rayment, 1951)",54,"points"
"Amegilla albiclypeata Leijs, 2020",3,"points"
"Amegilla albigena (Lepeletier, 1841)",711,"points"
"Amegilla albigenella Michener, 1965",21,"points"
"Amegilla albocaudata (Dours, 1870)",206,"points"
"Amegilla alpha (Cockerell, 1904)",5,"points"
"Amegilla amymone (Bingham, 1896)",2,"points"
"Amegilla andresi (Friese, 1914)",23,"points"
"Amegilla andrewsi (Cockerell, 1910)",274,"points"
"Amegilla anekawarna Engel, 2007",20,"points"
"Amegilla antimena (Saussure, 1890)",181,"points"
"Amegilla arcana (Cockerell, 1936)",13,"points"
"Amegilla argophenax Engel, 2007",2,"points"
"Amegilla aspergina (Cockerell, 1933)",132,"points"
"Amegilla asserta (Cockerell, 1926)",1276,"points"
"Amegilla atribasis (Cockerell, 1933)",4,"points"
"Amegilla atrocincta (Lepeletier, 1841)",394,"points"
"Amegilla aurantia Leijs, 2020",3,"points"
"Amegilla aurata (Friese, 1911)",1,"points"
"Amegilla batleyi Leijs, 2020",3,"points"
"Amegilla bechuanensis (Cockerell, 1935)",14,"points"
"Amegilla binghami (Schulz, 1906)",96,"points"
"Amegilla bombiformis (Smith, 1854)",1385,"points"
"Amegilla borneensis (Cockerell, 1910)",15,"points"
"Amegilla bothai (Friese, 1911)",11,"points"
"Amegilla bouwmani (Lieftinck, 1944)",1,"points"
"Amegilla brookiae (Bingham, 1890)",2,"points"
"Amegilla brooksi Eardley, 1994",18,"points"
"Amegilla buruensis (Cockerell, 1911)",2,"points"
"Amegilla byssina (Klug, 1845)",85,"points"
"Amegilla caelestina (Cockerell, 1919)",145,"points"
"Amegilla caerulea (Friese, 1905)",2,"points"
"Amegilla calceifera (Cockerell, 1911)",93,"points"
"Amegilla calens (Lepeletier, 1841)",891,"points"
"Amegilla calva (Rayment, 1935)",113,"points"
"Amegilla cana (Walker, 1871)",14,"points"
"Amegilla candida (Smith, 1879)",1,"points"
"Amegilla canifronoides Brooks, 1988",5,"points"
"Amegilla canifrons (Smith, 1854)",113,"points"
"Amegilla capensis (Friese, 1905)",596,"points"
"Amegilla capeverdensis Brooks, 1988",28,"points"
"Amegilla chlorocyanea (Cockerell, 1914)",2575,"points"
"Amegilla cincta (Fabricius, 1781)",32,"points"
"Amegilla cingulata (Fabricius, 1775)",1019,"points"
"Amegilla cingulifera (Cockerell, 1910)",15,"points"
"Amegilla cinnyris (Lieftinck, 1944)",1,"points"
"Amegilla circulata (Fabricius, 1793)",12,"points"
"Amegilla comberi (Cockerell, 1911)",81,"points"
"Amegilla comorensis Brooks and Pauly, 2001",2,"points"
"Amegilla confusa (Smith, 1854)",41,"points"
"Amegilla crenata Leijs, 2020",9,"points"
"Amegilla crocea (Klug, 1845)",22,"points"
"Amegilla cymatilis Eardley, 1994",32,"points"
"Amegilla cyrtandrae (Lieftinck, 1944)",6,"points"
"Amegilla dawsoni (Rayment, 1951)",1135,"points"
"Amegilla deceptrix (Priesner, 1957)",3,"points"
"Amegilla disrupta (Cockerell, 1920)",1,"points"
"Amegilla dizona Engel, 2009",47,"points"
"Amegilla dohertyi (Gribodo, 1894)",1,"points"
"Amegilla dulcifera (Cockerell, 1926)",23,"points"
"Amegilla elegans (Smith, 1859)",11,"points"
"Amegilla elephas (Lieftinck, 1944)",2,"points"
"Amegilla elsei Brooks, 1988",1,"points"
"Amegilla epaphrodita Brooks, 1988",2,"points"
"Amegilla eritrina (Friese, 1915)",3,"points"
"Amegilla fallax (Smith, 1879)",715,"points"
"Amegilla farinosa (Klug, 1845)",4,"points"
"Amegilla fasciata (Fabricius, 1775)",31,"points"
"Amegilla feronia (Lieftinck, 1944)",3,"points"
"Amegilla ferrocincta (Cockerell, 1936)",1,"points"
"Amegilla fimbriata (Smith, 1879)",90,"points"
"Amegilla flammeozonata (Dours, 1870)",9,"points"
"Amegilla flava (Friese, 1911)",3,"points"
"Amegilla florea (Smith, 1879)",494,"points"
"Amegilla froggatti (Cockerell, 1914)",1,"points"
"Amegilla garrula (Rossi, 1790)",562,"points"
"Amegilla glauca (Alfken, 1926)",2,"points"
"Amegilla godofredi (Sichel, 1870)",47,"points"
"Amegilla grandiceps (Friese, 1905)",6,"points"
"Amegilla griseotecta (Cockerell, 1947)",10,"points"
"Amegilla gussakovskyi (Popov, 1946)",1,"points"
"Amegilla hanitschi (Meade-Waldo, 1914)",4,"points"
"Amegilla harttigi (Alfken, 1926)",2,"points"
"Amegilla himalajensis (Radoszkowski, 1882)",60,"points"
"Amegilla houstoni Brooks, 1988",4,"points"
"Amegilla incana (Klug, 1845)",11,"points"
"Amegilla indistincta Leijs, Batley and Hogendoorn, 2017",11,"points"
"Amegilla insularis (Smith, 1857)",25,"points"
"Amegilla jacobi (Lieftinck, 1944)",2,"points"
"Amegilla kaimosica (Cockerell, 1947)",96,"points"
"Amegilla kalahari Eardley, 1994",5,"points"
"Amegilla karlba Leijs, Batley and Hogendoorn, 2017",30,"points"
"Amegilla korotonensis (Cockerell, 1911)",9,"points"
"Amegilla kuleni Eardley, 1994",47,"points"
"Amegilla langi (Cockerell, 1935)",184,"points"
"Amegilla latizona (Spinola, 1838)",15,"points"
"Amegilla liberica (Cockerell, 1930)",1,"points"
"Amegilla lieftincki Brooks, 1988",6,"points"
"Amegilla lomamica (Cockerell, 1936)",1,"points"
"Amegilla luzonica (Cockerell, 1914)",5,"points"
"Amegilla maclachlani (Fedtschenko, 1875)",5,"points"
"Amegilla macroleuca (Cockerell, 1922)",3,"points"
"Amegilla malaccensis (Friese, 1918)",16,"points"
"Amegilla mcnamarae (Cockerell, 1929)",1,"points"
"Amegilla medicorum (Cockerell, 1910)",3,"points"
"Amegilla mesopyrrha (Cockerell, 1930)",16,"points"
"Amegilla michaelis (Cockerell, 1930)",1,"points"
"Amegilla mimadvena (Cockerell, 1916)",222,"points"
"Amegilla modestoides Brooks, 1988",17,"points"
"Amegilla montivaga (Fedtschenko, 1875)",13,"points"
"Amegilla mucorea (Klug, 1845)",75,"points"
"Amegilla murrayensis (Rayment, 1935)",191,"points"
"Amegilla natalensis (Friese, 1922)",70,"points"
"Amegilla nigricornis (Morawitz, 1872)",29,"points"
"Amegilla nigritarsis (Friese, 1905)",72,"points"
"Amegilla nigroclypeata (Friese, 1909)",37,"points"
"Amegilla nila Eardley, 1994",21,"points"
"Amegilla nitidiventris Leijs, 2020",3,"points"
"Amegilla niveata (Friese, 1905)",1025,"points"
"Amegilla niveocincta (Smith, 1854)",87,"points"
"Amegilla nonconforma Brooks, 1988",1,"points"
"Amegilla nubica (Lepeletier, 1841)",303,"points"
"Amegilla obscuriceps (Friese, 1905)",172,"points"
"Amegilla ochroleuca (Pérez, 1879)",39,"points"
"Amegilla paeninsulae Leijs, Batley and Hogendoorn, 2017",5,"points"
"Amegilla pagdeni Lieftinck, 1956",1,"points"
"Amegilla paradoxa Brooks, 1988",10,"points"
"Amegilla parhypate Lieftinck, 1975",41,"points"
"Amegilla pendleburyi (Cockerell, 1929)",6,"points"
"Amegilla penicula Eardley, 1994",42,"points"
"Amegilla preissi (Cockerell, 1910)",119,"points"
"Amegilla proboscidea Lieftinck, 1956",1,"points"
"Amegilla pseudobomboides (Meade-Waldo, 1914)",8,"points"
"Amegilla pulchra (Smith, 1854)",961,"points"
"Amegilla punctifrons (Walker, 1871)",59,"points"
"Amegilla puttalama (Strand, 1913)",38,"points"
"Amegilla pyramidalis (W. F. Kirby, 1900)",5,"points"
"Amegilla quadrata (Cockerell, 1911)",32,"points"
"Amegilla quadrifasciata (de Villers, 1789)",1493,"points"
"Amegilla rapida (Smith, 1879)",33,"points"
"Amegilla regalis (Cockerell, 1946)",1,"points"
"Amegilla rhodoscymna (Cockerell, 1905)",79,"points"
"Amegilla salviae (Morawitz, 1876)",146,"points"
"Amegilla samarensis (Cockerell and LeVeque, 1925)",11,"points"
"Amegilla sapiens (Cockerell, 1911)",27,"points"
"Amegilla savignyi (Lepeletier, 1841)",67,"points"
"Amegilla scoparia Leijs, 2020",19,"points"
"Amegilla scymna (Gribodo, 1894)",3,"points"
"Amegilla sesquicincta (Erichson, 1842)",6,"points"
"Amegilla sierra Eardley, 1994",14,"points"
"Amegilla spilostoma (Cameron, 1905)",709,"points"
"Amegilla stantoni (Cockerell, 1911)",1,"points"
"Amegilla subcoerulea (Lepeletier, 1841)",45,"points"
"Amegilla subinsularis (Strand, 1910)",95,"points"
"Amegilla subrussata (Cockerell, 1925)",3,"points"
"Amegilla sumatrana Lieftinck, 1956",1,"points"
"Amegilla terminata (Smith, 1879)",39,"points"
"Amegilla ternatensis (Cockerell, 1910)",6,"points"
"Amegilla tetrataeniata (Gribodo, 1894)",1,"points"
"Amegilla thorogoodi (Rayment, 1939)",59,"points"
"Amegilla triangulifera (Cockerell, 1933)",4,"points"
"Amegilla urens (Cockerell, 1911)",81,"points"
"Amegilla vegeta (Bingham, 1896)",2,"points"
"Amegilla velocissima (Fedtschenko, 1875)",337,"points"
"Amegilla velutina (Friese, 1909)",375,"points"
"Amegilla vigilans (Smith, 1860)",2,"points"
"Amegilla violacea (Lepeletier, 1841)",177,"points"
"Amegilla viridicingulata Leijs, Batley and Hogendoorn, 2017",8,"points"
"Amegilla vivida (Smith, 1879)",21,"points"
"Amegilla walkeri (Cockerell, 1905)",130,"points"
"Amegilla wallacei (Cockerell, 1907)",2,"points"
"Amegilla whiteheadi (Cockerell, 1910)",59,"points"
"Amegilla xerophila (Cockerell, 1911)",2,"points"
"Amegilla xylocopoides Leijs, 2020",7,"points"
"Amegilla zonata (Linnaeus, 1758)",114,"points"
"Ammobates androsthenes Engel, 2009",14,"points"
"Ammobates armeniacus Morawitz, 1876",4,"points"
"Ammobates arsinoe Engel, 2009",1,"points"
"Ammobates auster Eardley, 1997",7,"points"
"Ammobates biastoides Friese, 1895",2,"points"
"Ammobates chionospilus Baker, 1975",2,"points"
"Ammobates cinnamomeus Engel, 2008",6,"points"
"Ammobates depressus Friese, 1911",1,"points"
"Ammobates dubius Benoist, 1961",12,"points"
"Ammobates latitarsis Friese, 1899",2,"points"
"Ammobates lativalvis Popov, 1951",1,"points"
"Ammobates mavromoustakisi Popov, 1944",15,"points"
"Ammobates maxschwarzi Engel, 2008",16,"points"
"Ammobates minor (Pérez, 1902)",1,"points"
"Ammobates minutissimus Mavromoustakis, 1959",1,"points"
"Ammobates muticus Spinola, 1843",69,"points"
"Ammobates nigrinus Morawitz, 1875",13,"points"
"Ammobates niveatus (Spinola, 1838)",4,"points"
"Ammobates oraniensis (Lepeletier, 1841)",37,"points"
"Ammobates persicus Mavromoustakis, 1968",1,"points"
"Ammobates punctatus (Fabricius, 1804)",190,"points"
"Ammobates rostratus Friese, 1899",3,"points"
"Ammobates rufiventris Latreille, 1809",4,"points"
"Ammobates sanguineus Friese, 1911",1,"points"
"Ammobates similis Mocsáry, 1894",1,"points"
"Ammobates solitarius Nurse, 1904",3,"points"
"Ammobates syriacus Friese, 1899",2,"points"
"Ammobates verhoeffi Mavromoustakis, 1959",2,"points"
"Ammobates vinctus Gerstäcker, 1869",15,"points"
"Ammobatoides abdominalis (Eversmann, 1852)",84,"points"
"Ammobatoides luctuosus (Friese, 1911)",5,"points"
"Ammobatoides radoszkowskii Proshchalykin and Lelej, 2014",3,"points"
"Ammobatoides scriptus (Gerstäcker, 1869)",25,"points"
"Amphylaeus morosus (Smith, 1879)",208,"points"
"Amphylaeus nubilosellus (Cockerell, 1910)",109,"points"
"Amphylaeus obscuriceps (Friese, 1924)",168,"points"
"Ananthidium dilmae Urban, 1992",11,"points"
"Ananthidium inerme (Friese, 1908)",75,"points"
"Ancyla asiatica Friese, 1922",8,"points"
"Ancyla brevis Dours, 1873",1,"points"
"Ancyla cretensis Friese, 1902",1,"points"
"Ancyla holtzi Friese, 1902",11,"points"
"Ancyla oraniensis Lepeletier, 1841",7,"points"
"Ancyla orientalica Warncke, 1979",7,"points"
"Ancylandrena atoposoma (Cockerell, 1934)",198,"points"
"Ancylandrena koebelei (Timberlake, 1951)",81,"points"
"Ancylandrena larreae (Timberlake, 1951)",995,"points"
"Ancylandrena rozeni Zavortink, 1994",22,"points"
"Ancylandrena timberlakei Zavortink, 1974",154,"points"
"Ancyloscelis apiformis (Fabricius, 1793)",2128,"points"
"Ancyloscelis bonariensis Brèthes, 1910",5,"points"
"Ancyloscelis ecuadorius Friese, 1904",1,"points"
"Ancyloscelis globulifer (Cockerell, 1918)",2,"points"
"Ancyloscelis halictoides (Holmberg, 1903)",92,"points"
"Ancyloscelis hertigi Michener, 1954",5,"points"
"Ancyloscelis melanostoma Cockerell, 1923",110,"points"
"Ancyloscelis mesopotamicus (Holmberg, 1903)",49,"points"
"Ancyloscelis panamensis Michener, 1954",3,"points"
"Ancyloscelis romeroi (Holmberg, 1903)",29,"points"
"Ancyloscelis sejunctus Cockerell, 1933",34,"points"
"Ancyloscelis ursinus Haliday, 1836",32,"points"
"Ancyloscelis wheeleri (Cockerell, 1912)",70,"points"
"Andinopanurgus amyae (Gonzalez and Engel, 2011)",3,"points"
"Andinopanurgus bachue (Gonzalez and Ruz, 2007)",2,"points"
"Andinopanurgus femoralis (Gonzalez and Engel, 2011)",29,"points"
"Andinopanurgus guarnensis (Gonzalez and Ruz, 2007)",12,"points"
"Andinopanurgus maximina (Gonzalez and Ruz, 2007)",10,"points"
"Andinopanurgus rangeli (Gonzalez and Ruz, 2007)",6,"points"
"Andinopanurgus wayruronga (Gonzalez and Ruz, 2007)",6,"points"
"Andrena abbreviata Dours, 1873",8,"points"
"Andrena aberrans Eversmann, 1852",17,"points"
"Andrena abjecta Pérez, 1895",2,"points"
"Andrena ablegata (Cockerell, 1922)",170,"points"
"Andrena abrupta Warncke, 1967",11,"points"
"Andrena aburana Hirashima, 1962",90,"points"
"Andrena accepta Viereck, 1916",736,"points"
"Andrena acerba Warncke, 1967",3,"points"
"Andrena aciculata Morawitz, 1886",32,"points"
"Andrena acrana Warncke, 1967",7,"points"
"Andrena aculeata LaBerge, 1980",7,"points"
"Andrena acuta Warncke, 1993",29,"points"
"Andrena acutidentis Wood, 2020",1,"points"
"Andrena aegyptiaca Friese, 1899",80,"points"
"Andrena aegypticola Friese, 1922",4,"points"
"Andrena aeneiventris Morawitz, 1872",160,"points"
"Andrena aerifera LaBerge, 1967",22,"points"
"Andrena aerinifrons Dours, 1873",19,"points"
"Andrena aeripes LaBerge, 1967",1,"points"
"Andrena aetherea Warncke, 1974",2,"points"
"Andrena afghana Warncke, 1974",1,"points"
"Andrena afimbriata LaBerge, 1967",9,"points"
"Andrena afrensis Warncke, 1967",109,"points"
"Andrena africana Friese, 1909",5,"points"
"Andrena afzeliella (Kirby, 1802)",561,"points"
"Andrena agilis Smith, 1879",7,"points"
"Andrena agilissima (Scopoli, 1770)",1038,"points"
"Andrena agnata Warncke, 1967",3,"points"
"Andrena agoseridis Thorp, 1969",388,"points"
"Andrena aino Tadauchi, Hirashima and Matsumura, 1987",3,"points"
"Andrena akitsushimae Tadauchi and Hirashima, 1984",233,"points"
