"scientificName","dataFrom","continent","n"
"Andrena assimilis Radoszkowski, 1876","points","Africa",1
"Andrena asteris Robertson, 1891","points","Africa",41
"Andrena astragali Viereck and Cockerell, 1914","points","Africa",1
"Andrena auricoma Smith, 1879","points","Africa",6
"Andrena barbilabris (Kirby, 1802)","points","Africa",26
"Andrena beaumonti Benoist, 1961","points","Africa",2
"Andrena bellidis Pérez, 1895","points","Africa",7
"Andrena bicolor Fabricius, 1775","points","Africa",7
"Andrena bisalicis Viereck, 1908","points","Africa",2
"Andrena biskrensis Pérez, 1895","points","Africa",23
"Andrena blanda Pérez, 1895","points","Africa",4
"Andrena boyerella Dours, 1872","points","Africa",7
"Andrena bradleyi Viereck, 1907","points","Africa",2
"Andrena brevipalpis Cockerell, 1930","points","Africa",2
"Andrena breviscopa Pérez, 1895","points","Africa",1
"Andrena buckelli Viereck, 1924","points","Africa",4
"Andrena byrsicola Schmiedeknecht, 1900","points","Africa",1
"Andrena caerulea Smith, 1879","points","Africa",6
"Andrena caesia Warncke, 1974","points","Africa",1
"Andrena canadensis Dalla Torre, 1896","points","Africa",41
"Andrena candida Smith, 1879","points","Africa",12
"Andrena carlini Cockerell, 1901","points","Africa",78
"Andrena caroli Pérez, 1895","points","Africa",2
"Andrena carolina Viereck, 1909","points","Africa",6
"Andrena ceanothi Viereck, 1917","points","Africa",1
"Andrena ceanothifloris Linsley, 1938","points","Africa",1
"Andrena cerasifolii Cockerell, 1896","points","Africa",1
"Andrena chromotricha Cockerell, 1899","points","Africa",1
"Andrena clarkella (Kirby, 1802)","points","Africa",27
"Andrena cleodora (Viereck, 1904)","points","Africa",13
"Andrena coconina LaBerge, 1980","points","Africa",2
"Andrena colletina Cockerell, 1906","points","Africa",1
"Andrena columbiana Viereck, 1917","points","Africa",100
"Andrena commoda Smith, 1879","points","Africa",47
"Andrena compta Lepeletier, 1841","points","Africa",4
"Andrena concinnula (Cockerell, 1898)","points","Africa",1
"Andrena costillensis Viereck and Cockerell, 1914","points","Africa",9
"Andrena crataegi Robertson, 1893","points","Africa",125
"Andrena cressonii Robertson, 1891","points","Africa",28
"Andrena cupreotincta Cockerell, 1901","points","Africa",6
"Andrena cyanomicans Pérez, 1895","points","Africa",1
"Andrena cyanophila Cockerell, 1906","points","Africa",4
"Andrena cyanura Cockerell, 1916","points","Africa",69
"Andrena derbentina Morawitz, 1886","points","Africa",2
"Andrena distans Provancher, 1888","points","Africa",1
"Andrena dunningi Cockerell, 1898","points","Africa",218
"Andrena eddaensis Gusenleitner, 1998","points","Africa",5
"Andrena eremobia Guiglia, 1933","points","Africa",3
"Andrena erigeniae Robertson, 1891","points","Africa",11
"Andrena erythrogaster (Ashmead, 1890)","points","Africa",63
"Andrena erythronii Robertson, 1891","points","Africa",6
"Andrena euzona Pérez, 1895","points","Africa",7
"Andrena evoluta Linsley and MacSwain, 1961","points","Africa",1
"Andrena ferrugineicrus Dours, 1872","points","Africa",4
"Andrena flavipes Panzer, 1799","points","Africa",84
"Andrena florea Fabricius, 1793","points","Africa",2
"Andrena florentina Magretti, 1883","points","Africa",2
"Andrena forbesii Robertson, 1891","points","Africa",13
"Andrena fragilis Smith, 1853","points","Africa",232
"Andrena frigida Smith, 1853","points","Africa",128
"Andrena fuliginata Pérez, 1895","points","Africa",2
"Andrena fumida Pérez, 1895","points","Africa",9
"Andrena fuscosa Erichson, 1835","points","Africa",19
"Andrena geranii Robertson, 1891","points","Africa",3
"Andrena gibberis Viereck, 1924","points","Africa",1
"Andrena hallii Dunning, 1898","points","Africa",7
"Andrena helianthi Robertson, 1891","points","Africa",15
"Andrena helouanensis Friese, 1899","points","Africa",1
"Andrena hemileuca Viereck, 1904","points","Africa",219
"Andrena hesperia Smith, 1853","points","Africa",2
"Andrena hippotes Robertson, 1895","points","Africa",32
"Andrena hirticincta Provancher, 1888","points","Africa",202
"Andrena hirticornis Pérez, 1895","points","Africa",1
"Andrena illinoiensis Robertson, 1891","points","Africa",4
"Andrena imitatrix Cresson, 1872","points","Africa",25
"Andrena impressa Warncke, 1967","points","Africa",1
"Andrena innesi Gribodo, 1894","points","Africa",1
"Andrena insignis Warncke, 1974","points","Africa",1
"Andrena isis Schmiedeknecht, 1900","points","Africa",1
"Andrena kalmiae Atwood, 1934","points","Africa",1
"Andrena kamarti Schmiedeknecht, 1900","points","Africa",27
"Andrena lagopus Latreille, 1809","points","Africa",1
"Andrena laurivora Warncke, 1974","points","Africa",1
"Andrena lawrencei Viereck and Cockerell, 1914","points","Africa",4
"Andrena lepida Schenck, 1861","points","Africa",4
"Andrena leptopyga Pérez, 1895","points","Africa",1
"Andrena leucocyanea Pérez, 1895","points","Africa",1
"Andrena leucophaea Lepeletier, 1841","points","Africa",1
"Andrena limata Smith, 1853","points","Africa",4
"Andrena livens Pérez, 1895","points","Africa",7
"Andrena longibarbis Pérez, 1895","points","Africa",5
"Andrena lupinorum Cockerell, 1906","points","Africa",11
"Andrena mandibularis Robertson, 1892","points","Africa",9
"Andrena mara Warncke, 1974","points","Africa",2
"Andrena mariae Robertson, 1891","points","Africa",12
