name_long,mean_roadDist,median_roadDist
Niger,36887.4281530736,18026.9981440733
Grenada,1506.22510470824,1564.44702835018
Curaçao,1353.7781393501,1388.20818870096
Netherlands,3300.78065544989,2329.99119735741
Senegal,1844.50611501178,940.605479480713
Yemen,23334.0101971109,15521.2028605465
Eritrea,5247.95822343457,2098.16587550519
Aruba,441.555838277926,441.555838277926
Honduras,7438.30347966536,4319.69699027495
Barbados,1157.11020901739,1011.56381697854
Gambia,1093.57137767751,767.46470903593
El Salvador,2087.94978537601,1778.381503685
Saint Vincent and the Grenadines,2724.6583788374,3466.70450344924
Guatemala,3284.95000115888,1271.0407749889
Saint Lucia,2787.96966186216,2548.02765586804
Lao People's Democratic Republic,5440.50190299376,3975.47934330089
Mexico,5478.59510479465,3693.08804173741
Mauritania,37465.6033096351,19356.9140124737
Republic of Cabo Verde,1333.5084342056,910.7011547749
Dominica,3224.53490753138,2511.54286206937
Belize,3071.56674254204,1732.06139761973
Saudi Arabia,22422.2507610541,10407.5784227687
Oman,10859.9873887007,6580.61247292212
Montserrat,1410.95901886641,1410.95901886641
Antigua and Barbuda,995.366106670895,613.686384940957
Saint Kitts and Nevis,2483.1814622304,2483.1814622304
Dominican Republic,3123.25302564806,2550.13572921839
United States Virgin Islands,612.03929565204,544.779599378876
Jamaica,2241.54632569523,1490.29182959901
Saint-Barthélemy,2600.6505019238,2600.6505019238
Puerto Rico,1940.9455270503,811.235468865403
Sint Maarten,206.086760272817,206.086760272817
Haiti,2768.70650749807,2155.30157226739
Anguilla,216.919050604769,216.919050604769
China,19164.3758304334,6394.00438439115
British Virgin Islands,23.5730469120058,23.5730469120058
United States of America,20560.7430605483,6264.95106239998
Algeria,24729.9898911588,12561.0070386647
Cayman Islands,2771.47194676352,2235.9269801233
Libya,14852.4261159696,7474.25604384274
Cuba,3051.91264993363,2105.69335447389
Western Sahara,17467.6214804926,13935.0442812592
Bangladesh,3443.35100058599,2094.34554634388
Bahamas,20871.1401620439,5215.46175838293
Morocco,7428.38936315834,4769.04323117286
Turks and Caicos Islands,2711.8995302297,2625.49601513996
Taiwan,4379.4498741439,3045.55236382061
Egypt,18543.9595584097,9989.71567294392
Hong Kong,1683.10320519536,1470.70296656626
United Arab Emirates,8974.47512564474,6014.04170712071
Pakistan,22766.574625489,3767.70550981029
Japan,1752.71992125546,1068.28179418941
Qatar,3851.62353464597,3175.6092713613
Iran,7729.49468591414,4600.08881039015
Bahrain,1078.14475969542,1278.74566907406
Nepal,4928.97806819827,3716.91902714673
Bhutan,9134.26044545458,6090.02608961794
Spain,3490.87127707605,2838.88795903445
Kuwait,6249.59189343104,4212.23489739346
Iraq,8126.98776594076,3326.89463069408
Jordan,4802.25186474753,3633.73805287768
Afghanistan,4265.79855919803,3051.61020920693
Israel,2367.07752810257,1862.32245843681
Tunisia,9194.90030649771,5423.86281174438
Palestine,2117.13366508686,1858.22904312805
Bermuda,2633.99009929802,2633.99009929802
