"name","scale","nChao","iChao_est","iChao_lower","iChao_upper","observedRichness","level","niNEXT","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iNEXT_increase","iChao_increasePercent","iChao_increase","cleanRecords","elevationalRange","Code","year_GDPc","GPD_per_cap","year_TerEd","percent_ed","continent","mean_roadDist","median_roadDist","n_lit","n_occ","propOccurrences","area_m"
"Yemen","Country",290,138.3425,120.4265,166.56099999999998,91,"Country",290,131.0522198942811,99.43690624571728,162.5802464693983,44.01342845525396,40.05221989428111,52.024725274725284,47.3425,37,3542,"YEM",2022,1959.3195,2020,3.8,"Asia",23334.0101971109,15521.2028605465,79,12,0.13186813186813187,454136378293.9569
"Malta","Country",538,139.603,124.256,165.97050000000002,99,"Country",538,132.95047715100253,102.36102167663265,162.80778049972025,34.293411263638916,33.95047715100253,41.01313131313131,40.60300000000001,111,224,"MLT",2022,34496.34,2020,18.9,"Europe",1444.43949192559,1534.79848998968,83,16,0.16161616161616163,273779804.89792645
"Togo","Country",96,143.705,109.102,213.422,75,"Country",96,143.70535714285717,89.11117642394694,192.8345167129206,91.60714285714289,68.70535714285717,91.60666666666668,68.70500000000001,4,937,"TGO",2022,1586.5889,2020,3.6,"Africa",4205.10749551666,3214.15346970568,72,3,0.04,57139767453.6461
"Sierra Leone","Country",168.5,151.3485,130.53199999999998,182.51049999999998,87,"Country",168.5,139.76794108851675,100.2518957024951,180.5890514935258,60.65280584886983,52.76794108851675,73.96379310344827,64.3485,18,1691,"SLE",2022,1690.4982,2020,3.3,"Africa",1058.83402319857,676.05627600783,77,10,0.11494252873563218,71875692503.4685
"Uruguay","Country",984.5,157.7335,125.1015,214.529,87,"Country",984.5,145.2888267985419,95.93400040028757,194.1712386631512,66.99865149257688,58.28882679854189,81.3028735632184,70.73349999999999,342,457,"URY",2022,20181.94,2020,7.7,"South America",4497.23964886861,3665.11481826349,65,22,0.25287356321839083,177564962792.43668
"Somalia","Country",115,134.464,103.68,199.8225,75,"Country",115,134.4640186915888,89.34671718296347,176.88822799752688,79.28535825545173,59.46401869158879,79.28533333333334,59.464,7,2050,NA,NA,NA,NA,NA,"Africa",2123.79224604023,1217.17868948196,70,5,0.06666666666666667,473603258330.72437
"Hong Kong","Country",2473,62.964,46.892,131.846,42,"Country",2473,62.24181156490093,24.176712751504233,100.30691037829762,48.194789440240314,20.241811564900928,49.91428571428571,20.964,2473,759,"HKG",2022,48289.383,2020,25.3,"Asia",1683.10320519536,1470.70296656626,NA,NA,NA,1028921488.8862168
"Ghana","Country",391.5,151.322,132.642,178.6515,101,"Country",391.5,142.48771879686308,109.82836237758649,174.38409538318467,41.07694930382484,41.48771879686308,49.823762376237624,50.322,101,841,"GHA",2022,4242.4106,2020,4,"Africa",4292.18827734183,3293.40732944336,72,29,0.2871287128712871,239565921826.06116
"Cuba","Country",1597.5,139.5675,127.6975,162.108,111,"Country",1597.5,135.01635724523925,109.11453216097699,160.6751195411326,21.636357878593927,24.01635724523925,25.736486486486477,28.567499999999995,962,1738,"CUB",2022,7648.704,2020,29.5,"North America",3051.91264993363,2105.69335447389,52,59,0.5315315315315315,109298059442.30664
"UAE","Country",1314.5,138.87599999999998,123.64349999999999,171.00599999999997,106,"Country",1314.5,136.12637892065328,107.41142200807286,165.41692347855002,28.42111218929555,30.12637892065328,31.015094339622618,32.875999999999976,661,1753,"ARE",2022,77203.67,2020,14.2,"Asia",8974.47512564474,6014.04170712071,71,35,0.330188679245283,71279189298.3143
"Oman","Country",406.5,150.3855,136.137,171.781,111,"Country",406.5,144.39140771945264,115.7208925280583,174.63129182614716,30.08234929680418,33.391407719452644,35.48243243243243,39.38550000000001,139,2979,"OMN",2022,47988.65,NA,NA,"Asia",10859.9873887007,6580.61247292212,73,38,0.34234234234234234,312071250372.0721
"Lesotho","Country",1457.5,141.99099999999999,129.6775,164.3555,114,"Country",1457.5,138.98202708625345,113.12990843059808,164.98227424776076,21.914058847590745,24.982027086253453,24.55350877192981,27.990999999999985,1243,2000,"LSO",2022,2312.9583,2020,1.1,"Africa",7905.81395385479,5846.62308622246,22,92,0.8070175438596491,30027545052.078854
