"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Gambia","iChao",NA,91.411,NA,72.349,129.251,"354",13.86,8
"New Caledonia","iNEXT",88,104.43049932523617,12.671351035423788,79.59510766034123,129.2658909901311,"975",NA,15
"Maldives","iNEXT",13,85,22.585162493981862,40.73389492681074,129.26610507318927,"13",NA,13
"Gambia","iChao",NA,79.769,NA,62.395,129.273,"225",15.384,8
"Bhutan","iNEXT",60,94.63364512471655,17.67378630555924,59.993660495363244,129.27362975406987,"392",NA,3
"Dominican Republic","iChao",NA,98.711,NA,84.171,129.302,"1376",10.907,6
"Rwanda","iChao",NA,93.991,NA,74.604,129.302,"154",13.465,18
"Maldives","iNEXT",13,85,22.605480744668263,40.69407188723655,129.30592811276347,"13",NA,13
"Greenland","iNEXT",61,95.43478260869566,17.2821673811629,61.56235696682347,129.30720825056784,"253",NA,9
"Anguilla","iNEXT",24,72.30985915492957,29.082166994357735,15.309859253608955,129.3098590562502,"71",NA,1
"Gambia","iChao",NA,79.785,NA,62.401,129.314,"258",15.393,8
"Niger","iNEXT",59,94.921875,17.55328023047714,60.518077937725884,129.32567206227412,"96",NA,15
"Dominican Republic","iNEXT",71,101.05583485679463,14.431460339605563,72.77069234684956,129.3409773667397,"1094",NA,6
"Maldives","iNEXT",13,85,22.62612661069375,40.65360673339694,129.34639326660306,"13",NA,13
"Andorra","iNEXT",55,89.73695652173913,20.223809741763322,50.09901779769275,129.37489524578552,"115",NA,1
"Yemen","iNEXT",91,107.7553076923077,11.032953759185967,86.13111568120742,129.379499703408,"260",NA,24
"Ireland","iNEXT",110,114.89986445741474,7.390783502610718,100.41419497476494,129.38553394006453,"36151",NA,10
"Maldives","iNEXT",13,85,22.654127785195513,40.59872543984867,129.40127456015134,"13",NA,13
"Niger","iNEXT",59,94.921875,17.593241942479562,60.439754421440576,129.40399557855943,"96",NA,15
"CAR","iNEXT",89,104.52758430071863,12.694633158803935,79.64656051251498,129.40860808892228,"335",NA,4
"Maldives","iNEXT",13,85,22.658489210788144,40.59017720276587,129.40982279723414,"13",NA,13
"Greenland","iNEXT",61,98.29508196721312,15.878199916103064,67.17438199232421,129.41578194210203,"183",NA,9
"Bahamas","iNEXT",48,79.92609699769054,25.25500544013378,30.427195905665194,129.42499808971587,"433",NA,2
"Niger","iChao",NA,88.925,NA,71.713,129.439,"93",13.719,15
"Dominica","iNEXT",34,66.53754940711462,32.09490282334762,3.632695786040415,129.44240302818883,"253",NA,6
"Niger","iNEXT",59,94.921875,17.634760609526865,60.35837932934173,129.48537067065826,"96",NA,15
"Maldives","iNEXT",13,85,22.70093293140195,40.506989038992906,129.4930109610071,"13",NA,13
"eSwatini","iNEXT",24,66.2312925170068,32.28406605587409,2.955685772981518,129.5068992610321,"98",NA,24
"New Caledonia","iNEXT",88,103.542930961966,13.271827403982126,77.53062724112931,129.55523468280268,"979",NA,15
"Mali","iNEXT",61,95.15169769989046,17.573627286816723,60.70802113999934,129.59537425978158,"83",NA,13
"Maldives","iNEXT",13,85,22.756361548258717,40.39835094624078,129.60164905375922,"13",NA,13
"Yemen","iChao",NA,115.296,NA,106.291,129.606,"326",5.822,24
"Jamaica","iNEXT",53,90.6972231515557,19.861101826715696,51.77017887791026,129.62426742520114,"427",NA,11
"Bangladesh","iNEXT",27,64.25490196078431,33.38255596376196,0,129.68350936165052,"153",NA,2
"Maldives","iNEXT",13,85,22.82304147746289,40.26766068650892,129.73233931349108,"13",NA,13
"Jamaica","iChao",NA,93.508,NA,74.382,129.744,"609",13.565,11
"Maldives","iNEXT",13,85,22.84132606830181,40.23182354699257,129.7681764530074,"13",NA,13
"Dominican Republic","iChao",NA,94.789,NA,80.63,129.769,"1139",11.588,6
"Ireland","iNEXT",110,116.12483082447176,6.962452547566127,102.47867458717299,129.7709870617705,"36205",NA,10
"Jamaica","iChao",NA,90.75,NA,71.563,129.771,"532",14.133,11
"Greenland","iNEXT",61,94.68098591549295,17.90471592799182,59.588387543208334,129.77358428777757,"284",NA,9
"Haiti","iNEXT",50,90.19131455399062,20.19570224698061,50.608465507413996,129.77416360056725,"284",NA,9
"Dominica","iNEXT",34,69.8468085106383,30.583612846585332,9.904028814214541,129.78958820706205,"235",NA,6
"Bangladesh","iNEXT",27,59.41343669250646,35.9137216748191,0,129.80303772594738,"129",NA,2
"New Caledonia","iChao",NA,108.333,NA,97.888,129.81,"1108",7.739,15
"CAR","iChao",NA,115.54,NA,106.25,129.835,"328",5.906,4
"Ireland","iNEXT",110,113.12491455445274,8.531790864212896,96.40291173696762,129.84691737193788,"36573",NA,10
"Gambia","iNEXT",53,84.39739413680782,23.18926077444479,38.94727819078865,129.847510082827,"307",NA,8
"Malta","iChao",NA,118.694,NA,111.573,129.849,"559",4.569,13
"Puerto Rico","iNEXT",71,94.13185768604019,18.237069193369635,58.38785888347079,129.8758564886096,"2104",NA,17
"Puerto Rico","iChao",NA,101.775,NA,87.08,129.9,"2451",10.479,17
"Greenland","iChao",NA,86.95,NA,70.772,129.914,"284",13.777,9
"Bangladesh","iChao",NA,66.538,NA,42.188,129.929,"129",20.51,2
"Haiti","iChao",NA,92.52,NA,72.61,129.964,"287",14.066,9
"Mali","iChao",NA,92.018,NA,74.946,129.988,"84",13.195,13
"Mali","iChao",NA,92.018,NA,74.946,129.988,"84",13.195,13
"Mali","iChao",NA,92.018,NA,74.946,129.988,"84",13.195,13
"Mali","iChao",NA,92.018,NA,74.946,129.988,"84",13.195,13
"Mali","iChao",NA,92.018,NA,74.946,129.988,"84",13.195,13
"Mali","iChao",NA,92.018,NA,74.946,129.988,"84",13.195,13
"Dominican Republic","iChao",NA,94.306,NA,80.206,130,"1172",11.695,6
"Gambia","iChao",NA,81.918,NA,63.857,130.024,"305",15.406,8
"Jamaica","iChao",NA,87.899,NA,68.812,130.026,"678",14.692,11
"Greenland","iNEXT",61,89.0468085106383,20.92307462429141,48.03833580118324,130.05528122009338,"235",NA,9
"SV & Grenadines","iNEXT",48,88.16937669376694,21.377179542366154,46.27087469968286,130.06787868785102,"246",NA,18
"Maldives","iNEXT",13,85,22.995868645203956,39.92892566218636,130.07107433781363,"13",NA,13
"Bhutan","iChao",NA,97.324,NA,79.88,130.077,"384",12.313,3
"Niger","iChao",NA,88.804,NA,71.496,130.086,"96",13.896,15
"Niger","iChao",NA,88.804,NA,71.496,130.086,"96",13.896,15
"Dominican Republic","iChao",NA,97.746,NA,83.101,130.115,"1077",11.281,6
"Burkina Faso","iNEXT",69,85.89954893639737,22.56605063224983,41.6709024238804,130.12819544891434,"37467",NA,4
"Solomon Islands","iNEXT",46,82.00524934383202,24.560772679373198,33.867019459785226,130.1434792278788,"381",NA,20
"Ireland","iNEXT",110,115.99983347210657,7.234838778362934,101.81981003256146,130.17985691165168,"36030",NA,10
"Greenland","iChao",NA,97.027,NA,79.757,130.2,"236",12.339,9
"Jamaica","iNEXT",53,86.00821018062398,22.55518849228724,41.80085307122872,130.21556729001924,"609",NA,11
"Dominican Republic","iChao",NA,97.746,NA,83.078,130.226,"1067",11.31,6
"eSwatini","iChao",NA,61.778,NA,37.435,130.227,"84",21.397,24
"Ireland","iNEXT",110,117.99977835037265,6.246113715339464,105.75762042496562,130.24193627577966,"36093",NA,10
"CAR","iNEXT",89,107.60975609756098,11.547729175275995,84.9766228107976,130.24288938432434,"328",NA,4
"Andorra","iChao",NA,82.999,NA,65.417,130.258,"116",15.073,1
"Andorra","iChao",NA,83.008,NA,65.423,130.261,"121",15.073,1
"Bahamas","iChao",NA,88.198,NA,67.642,130.266,"420",15.192,2
"Anguilla","iChao",NA,59.273,NA,35.707,130.277,"63",21.529,1
"Niger","iNEXT",59,92.67302631578947,19.18800762890045,55.065222428064786,130.28083020351414,"95",NA,15
"Jamaica","iChao",NA,88.805,NA,69.587,130.29,"448",14.617,11
"Maldives","iNEXT",13,85,23.135594039345595,39.655068921943084,130.3449310780569,"13",NA,13
"New Caledonia","iNEXT",88,106.36565688945878,12.239254380327328,82.37715910639311,130.35415467252443,"1101",NA,15
"Maldives","iNEXT",13,85,23.147548222297846,39.63163915389209,130.36836084610792,"13",NA,13
"Maldives","iNEXT",13,85,23.150952467951093,39.62496695501718,130.3750330449828,"13",NA,13
"Ireland","iChao",NA,114.698,NA,111.081,130.422,"36082",4.08,10
"Bhutan","iNEXT",60,92.98045905707195,19.124378029930465,55.49736689167919,130.46355122246473,"403",NA,3
"Haiti","iChao",NA,94.624,NA,74.743,130.479,"285",13.736,9
"Bhutan","iNEXT",60,91.43107221006565,19.923532191890402,52.381666669136116,130.4804777509952,"457",NA,3
"Bhutan","iNEXT",60,91.43649193548387,19.924981099945086,52.38424658695023,130.4887372840175,"496",NA,3
"New Caledonia","iNEXT",88,105.61872410936206,12.708819804996073,80.70989500556043,130.5275532131637,"1207",NA,15
"CAR","iChao",NA,114.913,NA,105.162,130.547,"363",6.333,4
"SV & Grenadines","iNEXT",48,67.9675925925926,31.92887029156938,5.388156754065726,130.54702843111946,"228",NA,18
"Burkina Faso","iNEXT",69,90.1244384038707,20.624615399702854,49.70093502546295,130.54794178227846,"37616",NA,4
"Palau","iChao",NA,30.833,NA,14.289,130.583,"27",22.761,16
"Puerto Rico","iChao",NA,97.275,NA,82.586,130.588,"2225",11.474,17
"New Caledonia","iNEXT",88,106.5964665415885,12.243892522596505,82.59887816672008,130.5940549164569,"984",NA,15
"Gambia","iNEXT",53,87.43202764976958,22.02312028560419,44.267505062791905,130.59655023674725,"248",NA,8
"Dominica","iChao",NA,63.579,NA,43.056,130.612,"237",19.622,6
"Rwanda","iChao",NA,94.148,NA,74.385,130.612,"174",13.821,18
"Dominica","iNEXT",34,76.046875,27.848862769574847,21.46410696123494,130.62964303876507,"208",NA,6
"Samoa","iChao",NA,46.258,NA,25.656,130.632,"31",22.44,19
"Bahamas","iChao",NA,81.566,NA,61.635,130.634,"479",16.281,2
"Bahamas","iChao",NA,81.569,NA,61.636,130.643,"504",16.283,2
"Dominica","iChao",NA,64.908,NA,43.883,130.662,"211",19.615,6
"Puerto Rico","iNEXT",71,95.49018036072144,17.954574737111123,60.29986051825093,130.68050020319194,"2495",NA,17
"Dominica","iChao",NA,64.918,NA,43.886,130.698,"228",19.622,6
"Cambodia","iChao",NA,105.923,NA,91.256,130.711,"405",9.793,4
"Gambia","iChao",NA,90.304,NA,70.907,130.712,"307",14.473,8
"Ireland","iNEXT",110,115.99983422208715,7.521543258644209,101.25788032698446,130.74178811718983,"36193",NA,10
"Mali","iNEXT",61,92.01759834368531,19.76626983013511,53.27642136791985,130.75877531945076,"84",NA,13
"Dominica","iChao",NA,64.941,NA,43.892,130.78,"280",19.639,6
"Greenland","iChao",NA,102.952,NA,86.219,130.787,"233",11.08,9
"Niger","iNEXT",59,94.73655913978494,18.396040890604496,58.680981536074,130.7921367434959,"93",NA,15
"New Caledonia","iNEXT",88,108.81114660986864,11.220225909989557,86.81990792788596,130.80238529185132,"939",NA,15
"Gambia","iNEXT",53,93.3890410958904,19.103231541382286,55.947395286451545,130.83068690532926,"365",NA,8
"CAR","iChao",NA,117.061,NA,107.823,130.834,"353",5.777,4
"Anguilla","iChao",NA,57.796,NA,34.689,130.858,"62",21.691,1
"Puerto Rico","iChao",NA,101.023,NA,86.053,130.882,"1471",10.912,17
"New Caledonia","iChao",NA,114.355,NA,104.192,130.896,"1035",6.653,15
"Montserrat","iChao",NA,53.359,NA,28.605,130.918,"47",23.118,14
"eSwatini","iNEXT",24,65.95659722222223,33.146602417793055,0.9904502734795813,130.92274417096488,"144",NA,24
"CAR","iChao",NA,116.973,NA,107.665,130.923,"375",5.837,4
"Cambodia","iNEXT",70,91.9375,19.8976900556344,52.9387441154158,130.9362558845842,"352",NA,4
"Sierra Leone","iChao",NA,119.485,NA,111.006,130.959,"178",5.043,19
"Maldives","iNEXT",13,85,23.457790403994544,39.02357565128143,130.97642434871858,"13",NA,13
"Bhutan","iChao",NA,91.448,NA,73.931,130.99,"420",13.648,3
"Dominican Republic","iNEXT",71,97.97846889952153,16.8444953088745,64.96386475637364,130.99307304266944,"1254",NA,6
"Uruguay","iChao",NA,114.132,NA,103.732,130.994,"928",6.794,23
"Niger","iNEXT",59,94.921875,18.406237381628692,58.84631264111294,130.99743735888705,"96",NA,15
"Bhutan","iChao",NA,92.627,NA,74.987,131.03,"412",13.478,3
"Mali","iNEXT",61,98.63066202090593,16.549559544652798,66.19412135338534,131.0672026884265,"82",NA,13
"Rwanda","iNEXT",51,91.07478632478633,20.40645623545486,51.07886705120199,131.07070559837067,"156",NA,18
"Bangladesh","iChao",NA,53.448,NA,33.721,131.076,"233",20.992,2
"Gambia","iNEXT",53,93.17639429312581,19.342848706356722,55.265107470259466,131.08768111599215,"257",NA,8
"Burkina Faso","iNEXT",69,93.49933694181325,19.193058458450757,55.881633610077934,131.11704027354858,"36950",NA,4
"Niger","iNEXT",59,98.79651162790697,16.529733650415775,66.39882899905226,131.19419425676168,"86",NA,15
"Dominica","iNEXT",34,69.86206896551724,31.297081447779277,8.520916506653194,131.2032214243813,"261",NA,6
"Jamaica","iNEXT",53,93.2743664717349,19.3689384924212,55.31194460781783,131.23678833565197,"684",NA,11
"Jamaica","iNEXT",53,89.69779829545455,21.19404041154756,48.15824240193486,131.23735418897422,"704",NA,11
"CAR","iChao",NA,116.46,NA,106.85,131.246,"332",6.109,4
"Brunei Darussalam","iChao",NA,88.344,NA,67.812,131.283,"170",15.351,4
"Gambia","iChao",NA,95.881,NA,76.485,131.295,"256",13.489,8
"Bhutan","iChao",NA,90.175,NA,72.769,131.305,"497",13.903,3
"Puerto Rico","iNEXT",71,99.88927245731254,16.04192643518734,68.44767440170435,131.33087051292074,"2694",NA,17
"Andorra","iNEXT",55,88.55857142857143,21.838190787852326,45.7565039968665,131.36063886027637,"140",NA,1
"Brunei Darussalam","iChao",NA,88.682,NA,68.117,131.37,"151",15.315,4
"Anguilla","iChao",NA,59.281,NA,35.593,131.376,"64",21.764,1
"Somalia","iChao",NA,100.147,NA,86.217,131.378,"124",10.814,20
"Brunei Darussalam","iChao",NA,88.857,NA,68.282,131.389,"161",15.288,4
"Gambia","iNEXT",53,86.22545846817692,23.05448261702597,41.03950285660129,131.41141407975255,"309",NA,8
"New Caledonia","iChao",NA,111.779,NA,101.021,131.426,"964",7.483,15
"Anguilla","iChao",NA,59.297,NA,35.597,131.431,"66",21.775,1
"New Caledonia","iChao",NA,113.611,NA,103.098,131.445,"939",7.033,15
"Solomon Islands","iChao",NA,85.077,NA,63.869,131.455,"482",16.243,20
"CAR","iNEXT",89,111.47324444444445,10.200370149758156,91.48088632194103,131.46560256694787,"375",NA,4
"CAR","iNEXT",89,109.40014506769826,11.258325321326058,87.33423291166385,131.46605722373266,"376",NA,4
"Jamaica","iNEXT",53,91.9681461352657,20.159895979026707,52.4554760842995,131.4808161862319,"414",NA,11
"CAR","iChao",NA,116.438,NA,106.71,131.509,"364",6.206,4
"Cambodia","iChao",NA,102.317,NA,86.976,131.521,"403",10.908,4
"Comoros","iNEXT",21,70.6124031007752,31.08724538965672,9.682521758489187,131.5422844430612,"129",NA,5
"Mali","iNEXT",61,95.15169769989046,18.571347290903507,58.752525865334086,131.55086953444683,"83",NA,13
"CAR","iChao",NA,104.956,NA,94.981,131.57,"365",8.517,4
"Dominican Republic","iNEXT",71,102.46177184466019,14.85686105675107,73.34285925011243,131.58068443920797,"824",NA,6
"Anguilla","iChao",NA,59.344,NA,35.61,131.6,"73",21.81,1
"Mali","iNEXT",61,98.63066202090593,16.827335124310846,65.64969122147085,131.61163282034101,"82",NA,13
"Haiti","iChao",NA,91.967,NA,71.577,131.625,"331",14.665,9
"Ireland","iChao",NA,117.625,NA,112.68,131.695,"36155",4.375,10
"CAR","iNEXT",89,110.0755269320843,11.069015750206766,88.38065471737244,131.77039914679617,"427",NA,4
"Ireland","iNEXT",110,115.99983378120065,8.049714360918989,100.22268354796456,131.77698401443672,"36097",NA,10
"Yemen","iChao",NA,119.766,NA,111.281,131.801,"282",5.171,24
"Grenada","iChao",NA,37.864,NA,18.834,131.808,"22",23.16,9
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Hong Kong","iChao",NA,62.964,NA,46.892,131.846,"2473",17.98,10
"Greenland","iNEXT",61,94.65975103734439,18.98262057784985,57.45449837256978,131.865003702119,"241",NA,9
"New Caledonia","iChao",NA,111.775,NA,100.88,131.885,"1079",7.621,15
"Saint Lucia","iNEXT",32,72,30.55558095731373,12.112161796967214,131.8878382030328,"81",NA,18
"Ireland","iNEXT",110,115.3331851893003,8.447742018547693,98.77591508226111,131.89045529633947,"36001",NA,10
"New Caledonia","iChao",NA,112.405,NA,101.561,131.919,"872",7.484,15
"Maldives","iNEXT",13,85,23.94723948856291,38.06427307326132,131.93572692673868,"13",NA,13
"Yemen","iChao",NA,118.147,NA,108.996,131.95,"319",5.757,24
"Ireland","iNEXT",110,115.99983435938492,8.140937051570658,100.04389093789872,131.9557777808711,"36223",NA,10
"Jamaica","iChao",NA,92.765,NA,73.027,131.959,"424",14.354,11
"Malta","iChao",NA,120.695,NA,113.28,131.96,"615",4.683,13
"Solomon Islands","iNEXT",46,85.8780487804878,23.517410922551765,39.784770362657476,131.97132719831814,"328",NA,20
"Ghana","iChao",NA,123.112,NA,116.765,132.015,"320",3.846,8
"Greenland","iNEXT",61,96.49770074283693,18.128314478672923,60.96685726422201,132.02854422145185,"257",NA,9
"Ireland","iNEXT",110,116.24982744816543,8.059728078547252,100.45305068902661,132.04660420730426,"36221",NA,10
"Rwanda","iNEXT",51,83.91620575221239,24.56150728909937,35.77653605955961,132.05587544486517,"226",NA,18
"CAR","iChao",NA,115.832,NA,105.72,132.06,"331",6.571,4
"SV & Grenadines","iChao",NA,88.696,NA,67.701,132.067,"221",15.595,18
"Brunei Darussalam","iNEXT",49,86.56979591836735,23.218991346806202,41.06140912128002,132.07818271545466,"175",NA,4
"Puerto Rico","iNEXT",71,99.78467269824375,16.489272546882486,67.46629237508905,132.10305302139847,"1879",NA,17
"CAR","iChao",NA,117.24,NA,107.501,132.106,"329",6.165,4
"Somalia","iNEXT",75,102.1626984126984,15.308041189321049,72.15948900777344,132.16590781762335,"126",NA,20
"Brunei Darussalam","iNEXT",49,89.10800744878958,21.97173930548839,46.04418973232924,132.1718251652499,"179",NA,4
"Ireland","iChao",NA,117.5,NA,112.534,132.201,"36097",4.492,10
"SV & Grenadines","iChao",NA,87.038,NA,66.099,132.201,"218",15.918,18
"Niger","iNEXT",59,98.79651162790697,17.054677726054248,65.36995751690318,132.22306573891075,"86",NA,15
"Puerto Rico","iNEXT",71,93.21364883401921,19.907012408633918,54.196621473304795,132.23067619473363,"2592",NA,17
"eSwatini","iChao",NA,59.528,NA,35.66,132.255,"124",21.943,24
"Greenland","iChao",NA,95.65,NA,77.849,132.258,"302",13.19,9
"SV & Grenadines","iChao",NA,87.061,NA,66.108,132.258,"255",15.93,18
"Rwanda","iNEXT",51,99.14659685863874,16.913914992554286,65.99593263566028,132.2972610816172,"191",NA,18
"Palau","iChao",NA,29.732,NA,13.893,132.306,"28",22.792,16
"CAR","iChao",NA,113.52,NA,102.882,132.31,"427",7.27,4
"Maldives","iNEXT",13,85,24.149042038905144,37.6687473426022,132.33125265739778,"13",NA,13
"Niger","iChao",NA,90.871,NA,72.847,132.354,"88",14.192,15
"Mali","iNEXT",61,98.63066202090593,17.206248620473062,64.90703441573676,132.35428962607511,"82",NA,13
"Greenland","iNEXT",61,96.88235294117646,18.1023323310814,61.40243353608192,132.362272346271,"306",NA,9
"Bhutan","iChao",NA,95.773,NA,77.684,132.367,"340",13.286,3
"Andorra","iNEXT",55,93.92394366197183,19.61791059893864,55.47354543612549,132.37434188781816,"142",NA,1
"Cambodia","iChao",NA,99.596,NA,84.043,132.377,"396",11.678,4
"Greenland","iNEXT",61,97.6275,17.734847470431976,62.86783768664205,132.38716231335795,"300",NA,9
