"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Liberia","iNEXT",110,181.73571428571427,27.90469921374844,127.04350882734418,236.42791974408436,"250",NA,12
"Solomon Islands","iChao",NA,121.481,NA,75.915,236.449,"458",37.725,20
"El Salvador","iChao",NA,191.109,NA,163.568,236.471,"1709",18.141,7
"Suriname","iChao",NA,210.428,NA,192.049,236.477,"830",11.196,21
"Sierra Leone","iNEXT",87,179.32987012987013,29.168468440682844,122.16072250193858,236.49901775780168,"165",NA,19
"Sri Lanka","iNEXT",142,192.3708559977097,22.532299434622512,148.20836061697736,236.53335137844203,"4990",NA,20
"Senegal","iChao",NA,209.943,NA,190.899,236.558,"471",11.517,19
"Guernsey","iChao",NA,183.329,NA,152.834,236.598,"613",20.718,9
"Belize","iChao",NA,209.01,NA,191.745,236.644,"2887",11.203,3
"Gabon","iChao",NA,220.437,NA,208.489,236.648,"1026",7.116,8
"Uruguay","iNEXT",87,177.1531652360515,30.366148793475087,117.63660725165593,236.66972322044708,"932",NA,23
"Togo","iNEXT",75,156.64837625979845,40.82909461042856,76.62482130198006,236.67193121761684,"94",NA,22
"Belize","iChao",NA,212.998,NA,196.919,236.698,"2577",9.995,3
"Suriname","iNEXT",148,198.0274000930569,19.737738424442313,159.34214364487764,236.71265654123619,"841",NA,21
"Rep. Congo","iNEXT",119,188.05026604777538,24.832671712442025,139.37912385148243,236.72140824406833,"803",NA,17
"Belize","iNEXT",163,205.17137327981652,16.106679220645102,173.60286209681246,236.73988446282058,"2616",NA,3
"Liberia","iChao",NA,195.789,NA,168.071,236.74,"241",17.252,12
"Belize","iNEXT",163,201.50766381766383,18.00832611421688,166.2119932119466,236.80333442338105,"2925",NA,3
"Nicaragua","iNEXT",180,211.1070079792385,13.115966943160432,185.40018514822614,236.81383081025083,"4694",NA,15
"Suriname","iNEXT",148,202.12382491186838,17.727641713896837,167.37828562180067,236.8693642019361,"851",NA,21
"Rep. Congo","iNEXT",119,191.13586097946288,23.370351012582294,145.3308146887424,236.94090727018335,"633",NA,17
"Trinidad and Tobago","iChao",NA,196.016,NA,170.179,236.964,"2260",16.679,22
"Suriname","iNEXT",148,197.95587121212122,19.905984253553854,158.94085899833425,236.9708834259082,"770",NA,21
"Botswana","iChao",NA,210.457,NA,192.383,237.042,"1095",11.223,3
"El Salvador","iChao",NA,191.112,NA,163.359,237.05,"1929",18.328,7
"Burundi","iNEXT",87,175.23399209486166,31.547797218481318,113.4014457550654,237.06653843465793,"110",NA,4
"Togo","iNEXT",75,156.64837625979845,41.036764404737156,76.21779598445838,237.07895653513853,"94",NA,22
"Sri Lanka","iNEXT",142,198.80667550351632,19.600656952999714,160.3900938023123,237.22325720472034,"4938",NA,20
"Solomon Islands","iChao",NA,117.248,NA,72.539,237.279,"522",38.304,20
"Uruguay","iChao",NA,166.98,NA,129.563,237.29,"904",26.422,23
"El Salvador","iNEXT",121,183.970184571699,27.21001942583122,130.6395264784346,237.30084266496343,"2113",NA,7
"Botswana","iNEXT",154,204.21379310344827,16.916113005770892,171.05882085372772,237.3687653531688,"810",NA,3
"Botswana","iChao",NA,215.398,NA,199.21,237.384,"714",9.647,3
"Gabon","iNEXT",175,210.52755364019805,13.71111929984303,183.65425362477367,237.40085365562243,"1064",NA,8
"Gabon","iChao",NA,219.367,NA,206.535,237.419,"1059",7.787,8
