"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Global","iNEXT",20934,24972.58003007962,127.74831494287564,24722.197933705906,25222.962126453338,"8370238",NA,1
"Global","iNEXT",20934,24948.191718625003,141.95222515823434,24669.970469789543,25226.412967460463,"8375433",NA,1
"Global","iNEXT",20934,24957.176837833984,138.91300636726453,24684.912348369962,25229.441327298005,"8368320",NA,1
"Global","iNEXT",20934,24968.332770069308,134.89215813626828,24703.94899832534,25232.716541813275,"8367876",NA,1
"Global","iNEXT",20934,24943.975893186536,147.80508666785786,24654.283246585714,25233.66853978736,"8369313",NA,1
"Global","iNEXT",20934,24952.101327890072,144.61311032216182,24668.664839966317,25235.537815813826,"8372580",NA,1
"Global","iNEXT",20934,24976.864485687805,133.11156663995743,24715.970609147786,25237.758362227825,"8368983",NA,1
"Global","iNEXT",20934,24957.605826407766,144.46750715628858,24674.454715445157,25240.756937370374,"8376772",NA,1
"Global","iNEXT",20934,24978.701828532474,134.26107161199553,24715.55496364721,25241.848693417738,"8363627",NA,1
"Global","iNEXT",20934,24945.114812371983,151.82437019935014,24647.54451480578,25242.685109938186,"8365630",NA,1
"Global","iNEXT",20934,24956.50993096007,148.14480861790292,24666.1514415724,25246.86842034774,"8366690",NA,1
"Global","iNEXT",20934,24960.850602770734,148.67326569436545,24669.456356545823,25252.244848995644,"8369876",NA,1
"Global","iNEXT",20934,24945.974950000076,157.32647760881437,24637.620720072253,25254.3291799279,"8368931",NA,1
"Global","iNEXT",20934,25000.312708848236,130.07414314557374,24745.372072963004,25255.253344733468,"8368073",NA,1
"Global","iNEXT",20934,24960.366942844677,150.47971367249502,24665.432123642688,25255.301762046667,"8363910",NA,1
"Global","iNEXT",20934,24960.896577642347,152.33778499874555,24662.3200055602,25259.473149724494,"8368775",NA,1
"Global","iNEXT",20934,24984.331475720166,141.41219444956565,24707.168667624243,25261.49428381609,"8376369",NA,1
"Global","iNEXT",20934,24969.75795813481,149.59584697367916,24676.555485829635,25262.960430439987,"8369669",NA,1
"Global","iNEXT",20934,24984.807005221115,142.2926976148507,24705.91844263296,25263.69556780927,"8369832",NA,1
"Global","iNEXT",20934,24990.232881335054,141.6527757604479,24712.598542534448,25267.86722013566,"8374134",NA,1
"Global","iNEXT",20934,25006.529758027897,133.72457427802422,24744.434408595018,25268.625107460775,"8365727",NA,1
"Global","iNEXT",20934,25004.262811634107,135.59149946438757,24738.508356074126,25270.01726719409,"8370924",NA,1
"Global","iNEXT",20934,24984.83468896881,146.08246801021582,24698.518312896063,25271.15106504156,"8373371",NA,1
"Global","iNEXT",20934,24994.91825277231,141.08760720152745,24718.391623992382,25271.444881552237,"8368242",NA,1
"Global","iNEXT",20934,24996.487231483217,140.66445375813478,24720.789968212273,25272.18449475416,"8371434",NA,1
"Global","iNEXT",20934,25030.05404281985,124.02270094876313,24786.974015694894,25273.13406994481,"8369291",NA,1
"Global","iNEXT",20934,25016.21679858248,131.2805324741133,24758.91168306198,25273.521914102985,"8369442",NA,1
"Global","iNEXT",20934,24980.701490866835,149.90240986996616,24686.89816632594,25274.50481540773,"8375939",NA,1
"Global","iNEXT",20934,25010.163273159127,135.64290422154866,24744.308066126476,25276.01848019178,"8378018",NA,1
"Global","iNEXT",20934,25016.078191177894,135.3040821081257,24750.887063284717,25281.26931907107,"8368474",NA,1
"Global","iNEXT",20934,24968.604259262247,160.2395423348397,24654.54052738678,25282.667991137714,"8372138",NA,1
"Global","iNEXT",20934,24994.724934613765,147.7120355242664,24705.214664903102,25284.23520432443,"8371758",NA,1
"Global","iNEXT",20934,25018.175684028374,136.28569018230345,24751.060639662875,25285.290728393873,"8368606",NA,1
"Global","iNEXT",20934,25008.246975957092,141.50391720922713,24730.90439455567,25285.589557358515,"8373143",NA,1
"Global","iNEXT",20934,25002.189621010748,146.11219449253326,24715.81498210327,25288.564259918225,"8376246",NA,1
"Global","iNEXT",20934,24988.509886873537,161.20697431097213,24672.550023167358,25304.469750579716,"8367254",NA,1
"Global","iNEXT",20934,25014.163113597857,148.31096070674593,24723.4789721001,25304.847255095614,"8368471",NA,1
"Global","iNEXT",20934,25032.06945214139,139.53623583625932,24758.583455364034,25305.555448918745,"8367244",NA,1
