"variable","Name","Estimate","s.e.","95%Lower","95%Upper","n","Observed","Est_s.e."
"South America","iNEXT",5275.653734647229,NA,5141.577101219653,5409.730368074805,"402579",4349,68.40770263390311
"Africa","iNEXT",6343.533866723264,NA,6177.517797081778,6509.54993636475,"254075",4976,84.70363279682667
"Asia","iNEXT",8343.62702711234,NA,8121.599690034644,8565.654364190035,"197241",6184,113.28133518218662
"Europe","iNEXT",3186.153648371088,NA,3064.786931871518,3307.520364870658,"3388333",2516,61.92293198084005
"North America","iNEXT",6421.242147180426,NA,6279.492614682118,6562.991679678735,"2774233",5526,72.32251899341549
"Oceania","iNEXT",2512.201397609844,NA,2409.365960872385,2615.0368343473033,"268152",2049,52.46802367217556
"South America","iNEXT",5365.947438845334,NA,5224.544558863369,5507.350318827298,"397067",4349,72.14565221470001
"Africa","iNEXT",6416.315254716981,NA,6252.288193133133,6580.342316300829,"256520",4976,83.68881411988825
"Asia","iNEXT",8312.902008087302,NA,8114.631557184905,8511.172458989698,"199737",6184,101.16025216092187
"Europe","iNEXT",3146.7498140342177,NA,3033.7646252206646,3259.735002847771,"3391753",2516,57.646563765847695
"North America","iNEXT",6371.467150562266,NA,6236.530306055882,6506.403995068651,"2771488",5526,68.84659390210703
"Oceania","iNEXT",2417.3483412353344,NA,2322.0776140177554,2512.6190684529133,"268918",2049,48.60840707740669
"South America","iNEXT",5467.481208402882,NA,5313.293635002475,5621.668781803289,"402080",4349,78.6685748394455
"Africa","iNEXT",6415.26989433646,NA,6234.841154966197,6595.698633706724,"257906",4976,92.05717084265953
"Asia","iNEXT",8249.044594756515,NA,8049.838297937316,8448.250891575713,"197370",6184,101.63773334128201
"Europe","iNEXT",3018.777869062684,NA,2928.023879506503,3109.5318586188655,"3393052",2516,46.30390674116321
"North America","iNEXT",6330.843810403061,NA,6208.741404806202,6452.94621599992,"2768446",5526,62.298290458389744
"Oceania","iNEXT",2485.2587293337483,NA,2386.1905292094975,2584.326929457999,"268353",2049,50.54592885669744
"South America","iNEXT",5424.498474112757,NA,5279.18048953568,5569.816458689835,"397578",4349,74.1431912643942
"Africa","iNEXT",6381.290389413185,NA,6208.227035653266,6554.353743173104,"252598",4976,88.29925198882248
"Asia","iNEXT",8360.052782336854,NA,8146.059591826069,8574.045972847638,"196491",6184,109.18220548884328
"Europe","iNEXT",3033.3410491090744,NA,2925.251587496848,3141.430510721301,"3390008",2516,55.14869786629872
"North America","iNEXT",6409.413226137018,NA,6272.765278366203,6546.061173907832,"2773394",5526,69.71962181380681
"Oceania","iNEXT",2431.0657735842537,NA,2355.7864217432343,2506.345125425273,"267046",2049,38.40853833785385
"South America","iNEXT",5410.243254368441,NA,5276.780649405314,5543.705859331568,"400883",4349,68.09441704840651
"Africa","iNEXT",6329.098671602111,NA,6168.758891188077,6489.438452016145,"252669",4976,81.80751364758426
