"level","n","observedRichness","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iChao_est","iChao_lower","iChao_upper","iChao_increasePercent"
"Estonia",55927,299,309,293,324,3.12,311,305,322,3.87
"Eswatini",54,11,23,0,48,52.22,23,13,78,52.22
"Ethiopia",3204,220,310,266,354,29.08,333,302,374,33.84
"Fiji",1862,33,37,23,51,11.21,38,35,48,13.53
"Finland",183533,263,280,253,307,5.96,283,272,305,6.93
"France",137195,1003,1121,1076,1167,10.56,1145,1109,1193,12.4
"French Guiana",1178,208,344,280,409,39.59,373,317,458,44.23
"French Polynesia",185,18,19,13,26,7.65,20,18,30,9.4
"Gabon",1062,175,255,210,300,31.37,268,236,317,34.79
"Gambia",270,53,75,46,104,29.46,80,67,104,33.59
"Georgia",2669,465,631,574,688,26.31,672,634,718,30.81
"Germany",248429,639,705,670,740,9.36,719,693,758,11.17
"Ghana",354,101,139,110,168,27.3,148,134,168,31.75
"Greece",24787,1191,1549,1472,1626,23.11,1632,1572,1701,27.02
"Greenland",230,61,111,63,158,44.94,121,93,173,49.7
"Guam",134,11,17,9,25,35.12,18,12,47,38.74
"Guatemala",10892,382,503,451,555,24.09,533,494,584,28.3
"Guernsey",469,112,164,128,201,31.81,176,155,208,36.39
"Guinea-Bissau",33,13,37,12,62,64.63,37,16,175,64.63
"Guyana",1804,260,436,362,509,40.34,464,401,556,44.02
"Haiti",290,50,80,48,112,37.61,88,71,117,42.95
"Honduras",4872,231,341,289,393,32.21,361,319,423,36.03
"Hong Kong",2473,42,62,22,103,32.52,63,47,132,33.3
"Hungary",8266,727,998,923,1073,27.17,1053,998,1120,30.99
"India",24074,792,1084,1013,1155,26.94,1142,1074,1225,30.62
"Indonesia",11789,482,654,574,734,26.29,687,640,749,29.86
"Iran",28704,1112,1460,1376,1543,23.83,1547,1489,1614,28.11
"Iraq",238,107,239,181,297,55.18,258,198,357,58.55
"Ireland",36261,110,115,94,136,4.26,115,111,135,4.26
"Isle of Man",2951,66,83,59,106,20.16,84,71,129,21.37
"Israel",18670,1064,1540,1427,1652,30.9,1638,1551,1741,35.06
"Italy",25773,1045,1287,1218,1356,18.8,1346,1299,1403,22.39
"Jamaica",521,53,73,53,94,27.61,75,63,102,29.53
"Japan",28785,414,499,459,539,17.02,519,488,562,20.2
"Jersey",965,120,216,158,274,44.47,240,195,312,50.02
"Jordan",793,411,714,625,802,42.42,761,693,846,46
"Kazakhstan",5160,826,1210,1110,1310,31.72,1295,1222,1382,36.23
"Kenya",6851,402,537,484,591,25.15,566,527,615,28.93
"Kuwait",412,9,11,7,15,18.15,11,9,31,18.14
"Kyrgyzstan",7375,430,568,517,619,24.31,595,557,644,27.69
"Lao People's Democratic Republic",449,118,242,182,302,51.25,255,197,355,53.73
