"name","observedRichness","continent","est","lower","upper","increasePercent","increase","statistic","Chao_increase","colourBar"
"Moldova",114,"Europe",197.2035,58.298,120.9025,72.98552631578947,83.20349999999999,"iChao",83.20349999999999,-15
"Cyprus",142,"Europe",154.59,8.057999999999993,19.670999999999992,8.8661971830986,12.590000000000003,"iChao",12.590000000000003,-15
"Burundi",87,"Africa",168.943,42.653999999999996,157.422,94.1873563218391,81.94300000000001,"iChao",81.94300000000001,-15
"Lao",118,"Asia",175.82600000000002,35.964,90.55000000000001,49.00508474576273,57.82600000000002,"iChao",57.82600000000002,-15
"Rep. Congo",119,"Africa",187.206,42.986999999999995,107.53899999999999,57.31596638655463,68.20600000000002,"iChao",68.20600000000002,-15
"Vietnam",118,"Asia",184.463,41.89150000000001,105.46799999999999,56.32457627118646,66.46300000000002,"iChao",66.46300000000002,-15
"Trinidad and Tobago",126,"North America",181.795,31.863999999999976,93.68450000000001,44.28174603174604,55.795000000000016,"iChao",55.795000000000016,-15
"Liberia",110,"Africa",208.393,63.7115,145.2795,89.44818181818181,98.393,"iChao",98.393,-15
"Jersey",120,"Europe",189.4475,43.873999999999995,122.662,57.872916666666654,69.44749999999999,"iChao",69.44749999999999,-15
"Sri Lanka",142,"Asia",206.7395,40.890499999999946,105.156,45.591197183098586,64.73949999999999,"iChao",64.73949999999999,-15
"Suriname",148,"South America",212.482,43.9735,92.4025,43.56891891891892,64.482,"iChao",64.482,-15
"Belize",163,"North America",206.627,27.799000000000007,67.43100000000001,26.765030674846635,43.62700000000001,"iChao",43.62700000000001,-15
"Senegal",143,"Africa",233.841,62.706500000000005,135.7495,63.52517482517484,90.841,"iChao",90.841,-15
"Botswana",154,"Africa",219.616,47.02950000000001,94.69999999999999,42.60779220779221,65.61599999999999,"iChao",65.61599999999999,-15
"Nicaragua",180,"North America",234.939,36.959,80.51800000000003,30.52166666666667,54.93899999999999,"iChao",54.93899999999999,-15
"Gabon",175,"Africa",240.2825,46.23349999999999,94.96699999999998,37.304285714285726,65.2825,"iChao",65.2825,-15
"Benin",47,"Africa",268.355,69.478,675.1605,470.96808510638306,221.355,"iChao",221.355,-15
"Nigeria",185,"Africa",261.875,53.9255,109.04149999999998,41.554054054054056,76.875,"iChao",76.875,-15
"Taiwan",176,"Asia",253.589,48.1935,128.33349999999996,44.084659090909085,77.589,"iChao",77.589,-15
"Sudan",154,"Africa",290.14700000000005,99.6055,189.02749999999997,88.40714285714289,136.14700000000005,"iChao",136.14700000000005,-15
"Nepal",190,"Asia",281.38599999999997,63.45599999999999,130.39250000000004,48.09789473684209,91.38599999999995,"iChao",91.38599999999995,-15
"Finland",263,"Europe",278,6.7520000000000095,37.355999999999995,5.703422053231932,15,"iChao",15,-15
"Republic of Korea",226,"Asia",297.70000000000005,45.620000000000005,108.31700000000001,31.72566371681418,71.70000000000005,"iChao",71.70000000000005,-15
"Madagascar",226,"Africa",300.6455,53.303,104.73950000000002,33.028982300884955,74.64550000000003,"iChao",74.64550000000003,-15
"Norway",251,"Europe",291.5,15.679500000000019,101.03300000000002,16.135458167330686,40.5,"iChao",40.5,-15
"United Kingdom",263,"Europe",295.0195,11.605999999999995,88.4305,12.174714828897336,32.019499999999994,"iChao",32.019499999999994,-15
"French Guiana",208,"South America",310.6565,72.15999999999997,148.92849999999999,49.35408653846154,102.6565,"iChao",102.6565,-15
"Estonia",299,"Europe",310.01,5.733000000000004,20.646000000000015,3.682274247491635,11.009999999999993,"iChao",11.009999999999993,-15
"Montenegro",205,"Europe",338.48900000000003,92.96349999999995,191.75599999999997,65.11658536585368,133.48900000000003,"iChao",133.48900000000003,-15
"Ethiopia",220,"Africa",344.26599999999996,85.19,182.58749999999998,56.48454545454544,124.26599999999996,"iChao",124.26599999999996,-15
"Sweden",309,"Europe",319.52750000000003,3.755999999999972,29.234000000000037,3.4069579288025897,10.527500000000032,"iChao",10.527500000000032,-15
"Myanmar",215,"Asia",347.613,93.63999999999999,186.83499999999998,61.68046511627907,132.613,"iChao",132.613,-15
"Zambia",227,"Africa",344.145,86.69,157.60649999999998,51.60572687224669,117.14499999999998,"iChao",117.14499999999998,-15
"Angola",188,"Africa",358.9915,114.71050000000002,252.6615,90.95292553191489,170.99149999999997,"iChao",170.99149999999997,-15
"Mozambique",219,"Africa",349.4015,96.38599999999997,176.18900000000002,59.54406392694065,130.4015,"iChao",130.4015,-15
"Macedonia",31,"Europe",120.438,26.270000000000003,304.5,288.50967741935483,89.438,"iChao",89.438,-15
"Denmark",298,"Europe",349.40049999999997,33.938499999999976,78.95249999999999,17.248489932885903,51.400499999999965,"iChao",51.400499999999965,-15
"Albania",249,"Europe",366.7895,86.62099999999998,163.91250000000002,47.30502008032127,117.78949999999998,"iChao",117.78949999999998,-15
"Papua New Guinea",254,"Oceania",388.3075,95.77350000000001,190.0125,52.876968503937015,134.3075,"iChao",134.3075,-15
"Uganda",235,"Africa",364.221,96.125,175.85199999999998,54.9876595744681,129.221,"iChao",129.221,-15
"Malawi",250,"Africa",381.6035,95.11950000000002,181.3605,52.64139999999999,131.6035,"iChao",131.6035,-15
"Thailand",285,"Asia",368.0415,56.685,124.0915,29.137368421052656,83.04150000000004,"iChao",83.04150000000004,-15
"Honduras",231,"North America",369.7505,95.649,198.91699999999997,60.065151515151506,138.7505,"iChao",138.7505,-15
"Bosnia and Herzegovina",244,"Europe",389.1205,103.94849999999997,195.68650000000002,59.47561475409835,145.1205,"iChao",145.1205,-15
"Cameroon",261,"Africa",413.1775,110.85050000000001,210.88350000000003,58.30555555555557,152.1775,"iChao",152.1775,-15
"Malaysia",294,"Asia",435.892,105.15699999999998,193.2025,48.2625850340136,141.892,"iChao",141.892,-15
"Luxembourg",353,"Europe",411.3545,39.33100000000002,86.31700000000001,16.531019830028338,58.35450000000003,"iChao",58.35450000000003,-15
"Netherlands",386,"Europe",425.4875,24.023000000000025,65.59249999999997,10.229922279792758,39.48750000000001,"iChao",39.48750000000001,-15
"Guyana",260,"South America",418.782,115.63850000000002,220.8315,61.07000000000002,158.78200000000004,"iChao",158.78200000000004,-15
"Belarus",333,"Europe",442.14200000000005,81.23399999999998,146.2425,32.77537537537538,109.14200000000004,"iChao",109.14200000000004,-15
"Philippines",247,"Asia",447.988,143.33550000000002,281.0519999999999,81.37165991902835,200.988,"iChao",200.988,-15
"Latvia",297,"Europe",456.2005,119.80900000000003,210.7595,53.60286195286197,159.20050000000003,"iChao",159.20050000000003,-15
"Libya",287,"Africa",463.5455,140.95600000000002,222.43599999999998,61.51411149825785,176.5455,"iChao",176.5455,-15
"Afghanistan",305,"Asia",472.925,127.79500000000002,219.65699999999993,55.05737704918032,167.925,"iChao",167.925,-15
"Belgium",423,"Europe",462.785,24.037500000000023,65.27850000000001,9.40543735224586,39.78499999999997,"iChao",39.78499999999997,-15
"Pakistan",354,"Asia",490.39,103.012,178.0005,38.52824858757062,136.39,"iChao",136.39,-15
"Lithuania",334,"Europe",511.2305,132.632,232.74400000000003,53.06302395209581,177.2305,"iChao",177.2305,-15
"Japan",414,"Asia",503.278,62.327499999999986,127.9815000000001,21.564734299516907,89.27800000000002,"iChao",89.27800000000002,-15
"Mongolia",364,"Asia",540.3734999999999,136.82600000000002,227.12699999999995,48.45425824175822,176.37349999999992,"iChao",176.37349999999992,-15
"Guatemala",382,"North America",513.903,97.14800000000002,180.265,34.52958115183247,131.90300000000002,"iChao",131.90300000000002,-15
"Venezuela",383,"South America",528.672,114.10700000000003,185.77750000000003,38.03446475195824,145.67200000000005,"iChao",145.67200000000005,-15
"Palestine",357,"Asia",550.5495000000001,150.7595,251.019,54.21554621848741,193.54950000000008,"iChao",193.54950000000008,-15
"Liechtenstein",406,"Europe",549.7175,109.05399999999997,187.33999999999992,35.39839901477833,143.71749999999997,"iChao",143.71749999999997,-15
"Kenya",402,"Africa",575.5889999999999,130.89800000000002,225.38599999999997,43.18134328358207,173.58899999999994,"iChao",173.58899999999994,-15
"Chile",502,"South America",572.262,50.46350000000007,96.84199999999998,13.996414342629482,70.26199999999994,"iChao",70.26199999999994,-15
"Namibia",419,"Africa",591.5219999999999,129.346,232.90149999999994,41.17470167064437,172.5219999999999,"iChao",172.5219999999999,-15
"Kyrgyzstan",430,"Asia",649.1315,167.39550000000008,285.37,50.96081395348837,219.13149999999996,"iChao",219.13149999999996,-15
"Tanzania",416,"Africa",653.4205,177.7935,321.015,57.07223557692307,237.42049999999995,"iChao",237.42049999999995,-15
"Poland",517,"Europe",666.0095,116.94499999999994,191.12900000000002,28.82195357833657,149.0095,"iChao",149.0095,-15
"Syria",486,"Asia",731.6535,198.27800000000002,305.32950000000005,50.54598765432099,245.6535,"iChao",245.6535,-15
"Georgia",465,"Asia",711.0055,194.5675,310.048,52.90440860215053,246.0055,"iChao",246.0055,-15
"Panama",480,"North America",667.0450000000001,143.45550000000003,242.56050000000005,38.96770833333334,187.04500000000007,"iChao",187.04500000000007,-15
"Egypt",490,"Africa",705.739,171.21350000000007,274.8734999999999,44.02836734693878,215.73900000000003,"iChao",215.73900000000003,-15
"Zimbabwe",475,"Africa",679.394,157.12799999999993,266.1355000000001,43.0303157894737,204.394,"iChao",204.394,-15
"Indonesia",482,"Asia",708.0625,178.019,289.063,46.90093360995851,226.0625,"iChao",226.0625,-15
"Switzerland",650,"Europe",687.3115,22.339999999999918,62.55600000000004,5.740230769230781,37.311500000000024,"iChao",37.311500000000024,-15
"Jordan",411,"Asia",728.8345,263.60850000000005,386.51,77.33199513381996,317.83450000000005,"iChao",317.83450000000005,-15
"Costa Rica",588,"North America",701.463,81.28500000000008,157.9325,19.29642857142857,113.46299999999997,"iChao",113.46299999999997,-15
"Germany",639,"Europe",735.509,65.52800000000002,141.346,15.103129890453836,96.509,"iChao",96.509,-15
"Paraguay",533,"South America",771.966,188.69049999999993,302.7215,44.83414634146341,238.966,"iChao",238.966,-15
"Ecuador",566,"South America",777.2645,164.62900000000002,271.66049999999996,37.32588339222615,211.2645,"iChao",211.2645,-15
"Czechia",609,"Europe",782.2165,141.98000000000002,212.74649999999997,28.442775041050904,173.2165,"iChao",173.2165,-15
"Armenia",536,"Asia",850.883,250.89200000000005,399.93100000000004,58.74682835820897,314.88300000000004,"iChao",314.88300000000004,-15
"Chad",679,"Africa",796.4535000000001,90.5,151.726,17.298011782032408,117.45350000000008,"iChao",117.45350000000008,-15
"Lebanon",570,"Asia",850.6800000000001,226.87149999999997,347.4375,49.24210526315791,280.68000000000006,"iChao",280.68000000000006,-15
"Uzbekistan",565,"Asia",894.4965,270.75149999999996,399.06600000000003,58.3179646017699,329.49649999999997,"iChao",329.49649999999997,-15
"Serbia",594,"Europe",913.704,257.86400000000003,399.38199999999995,53.822222222222216,319.70399999999995,"iChao",319.70399999999995,-15
"Tajikistan",578,"Asia",921.629,279.0055,425.23350000000005,59.45138408304498,343.629,"iChao",343.629,-15
"Slovenia",594,"Europe",939.925,280.028,427.3075,58.23653198653198,345.92499999999995,"iChao",345.92499999999995,-15
"Austria",735,"Europe",934.8695,155.3895,260.8415,27.193129251700675,199.8695,"iChao",199.8695,-15
"Azerbaijan",583,"Asia",990.6945,342.18550000000005,484.0155,69.93044596912523,407.69450000000006,"iChao",407.69450000000006,-15
